Item,2017,2018,2019,2020,2021
Net Income before Extraordinaries,318.23M,296.01M,406.82M,451.96M,491.98M
Net Income Growth,-,-6.98%,37.43%,11.10%,8.86%
"Depreciation, Depletion & Amortization",216.01M,246.51M,280.2M,301.96M,420.9M
Depreciation and Depletion,183.81M,202.52M,218.11M,225.26M,255.53M
Amortization of Intangible Assets,32.21M,43.99M,62.09M,76.7M,165.37M
Deferred Taxes & Investment Tax Credit,(32.13M),61.97M,(7.92M),(60.02M),26.07M
Deferred Taxes,(32.13M),61.97M,(7.92M),(60.02M),26.07M
Investment Tax Credit,-,-,-,-,-
Other Funds,111.55M,154.83M,4.26M,94.71M,101.12M
Funds from Operations,613.66M,759.32M,683.36M,788.61M,1.04B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(241.18M),(400.53M),(156.81M),327.37M,(457.68M)
Receivables,(409.31M),(568.76M),(226.9M),224.89M,(580.4M)
Accounts Payable,29.72M,247.9M,39.42M,115.57M,95.83M
Other Assets/Liabilities,124.3M,(51.54M),(21.5M),(22.95M),25.47M
Net Operating Cash Flow,372.48M,358.79M,526.55M,1.12B,582.39M
Net Operating Cash Flow Growth,-,-3.67%,46.76%,111.94%,-47.81%
Net Operating Cash Flow / Sales,3.93%,3.21%,4.35%,9.96%,4.49%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(244.65M),(308.04M),(262.27M),(260.57M),(386.72M)
Capital Expenditures Growth,-,-25.91%,14.86%,0.65%,-48.41%
Capital Expenditures / Sales,-2.58%,-2.76%,-2.17%,-2.33%,-2.98%
Capital Expenditures (Fixed Assets),(244.65M),(293.6M),(261.76M),(260.05M),(385.85M)
Capital Expenditures (Other Assets),-,(14.45M),(508K),(522K),(867K)
Net Assets from Acquisitions,(361.22M),(94.92M),(387.97M),(292.57M),(2.45B)
Sale of Fixed Assets & Businesses,23.35M,31.78M,31.14M,54.18M,49.19M
Purchase/Sale of Investments,6.7M,(32.2M),(466K),(893K),(109.91M)
Purchase of Investments,(2.57M),(36.91M),(47.06M),(14.86M),(139.02M)
Sale/Maturity of Investments,9.26M,4.71M,46.59M,13.96M,29.11M
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(575.83M),(402.67M),(617.6M),(499.32M),(2.9B)
Net Investing Cash Flow Growth,-,30.07%,-53.38%,19.15%,-480.51%
Net Investing Cash Flow / Sales,-6.08%,-3.60%,-5.10%,-4.46%,-22.33%
