Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,2.91B,2.93B,3.27B,4.37B,6.95B
Net Income Growth,-,0.76%,11.57%,33.62%,59.02%
"Depreciation, Depletion & Amortization",2.48B,2.47B,2.6B,2.49B,2.64B
Depreciation and Depletion,2.46B,2.46B,2.59B,2.47B,2.6B
Amortization of Intangible Assets,14M,14M,13M,15M,42M
Deferred Taxes & Investment Tax Credit,(188M),322M,178M,(184M),522M
Deferred Taxes,(188M),322M,178M,(184M),522M
Investment Tax Credit,-,-,-,-,-
Other Funds,517M,230M,204M,798M,(40M)
Funds from Operations,5.71B,5.96B,6.26B,7.47B,10.07B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,1.22B,17M,862M,3.06B,(1.45B)
Receivables,-,-,-,-,-
Accounts Payable,1.31B,1.13B,140M,2.93B,2.63B
Other Assets/Liabilities,(156M),(299M),18M,(137M),(78M)
Net Operating Cash Flow,6.94B,5.97B,7.12B,10.53B,8.63B
Net Operating Cash Flow Growth,-,-13.87%,19.15%,47.89%,-18.05%
Net Operating Cash Flow / Sales,9.54%,7.93%,9.11%,11.25%,8.14%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(2.53B),(3.52B),(3.03B),(2.65B),(3.54B)
Capital Expenditures Growth,-,-38.81%,13.91%,12.49%,-33.79%
Capital Expenditures / Sales,-3.48%,-4.67%,-3.88%,-2.83%,-3.34%
Capital Expenditures (Fixed Assets),(2.53B),(3.52B),(3.03B),(2.65B),(3.54B)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(518M),-,-,-,-
Sale of Fixed Assets & Businesses,31M,85M,63M,42M,383M
Purchase/Sale of Investments,(55M),15M,20M,16M,7M
Purchase of Investments,(55M),-,-,-,-
Sale/Maturity of Investments,-,15M,20M,16M,7M
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(3.08B),(3.42B),(2.94B),(2.59B),(3.15B)
Net Investing Cash Flow Growth,-,-11.09%,13.82%,11.99%,-21.73%
Net Investing Cash Flow / Sales,-4.23%,-4.53%,-3.77%,-2.77%,-2.98%
