Item,2017,2018,2019,2020,2021
Sales/Revenue,21.67B,21.76B,22.31B,22.15B,22.11B
Sales Growth,-,0.42%,2.52%,-0.72%,-0.19%
Premiums Earned,18.53B,18.68B,18.78B,18.62B,17.65B
Total Investment Income,3.22B,3.44B,3.58B,3.64B,3.82B
Realized Gains (Losses),(42M),(80M),(25M),(879M),327M
Other Operating Income,(42M),(281M),(26M),766M,314M
"Losses, Claims & Reserves",14.61B,14.65B,14.72B,14.94B,13.74B
"Losses, Claims & Reserves Growth",-,0.26%,0.47%,1.48%,-8.00%
"Losses, Benefits & Adjustments",12.18B,12B,11.94B,11.8B,10.58B
Loss Ratio,-,-,-,-,N/A
"Selling, General & Admin. Expenses & Other",2.79B,2.91B,2.92B,2.81B,2.76B
SGA Growth,-,4.27%,0.41%,-3.63%,-1.89%
"Selling, General & Admin. Expenses",2.79B,2.91B,2.92B,2.81B,2.76B
"Other Selling, General & Admin. Expense",-,-,-,-,-
Underwriting & Commissions,1.32B,1.32B,1.32B,1.32B,1.26B
Other Operating Expense,-,-,-,-,-
Operating Income Before Interest Expense,4.27B,4.21B,4.67B,4.4B,5.61B
Operating Income Growth,-,-1.55%,11.13%,-5.82%,27.43%
"Interest Expense, Net of Interest Capitalized",240M,222M,228M,242M,238M
Interest Expense (excl. Interest Capitalized),240M,222M,228M,242M,238M
Interest Capitalized,-,-,-,-,-
Operating Income After Interest Expense,4.27B,4.21B,4.67B,4.4B,5.61B
Non-Operating Income (Expense),-,-,-,-,-
Miscellaneous Non Operating Expense,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,13M,-,13M,15M,48M
Pretax Income,4.02B,3.98B,4.45B,4.16B,5.32B
Pretax Income Growth,-,-0.87%,11.60%,-6.43%,27.96%
Income Tax,(586M),1.06B,1.14B,(619M),997M
Income Tax - Current Domestic,(91M),608M,69M,(28M),884M
Income Tax - Current Foreign,722M,771M,737M,822M,251M
Income Tax - Deferred Domestic,(1.19B),(409M),152M,(1.39B),211M
Income Tax - Deferred Foreign,(24M),93M,183M,(28M),(349M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,4.6B,2.92B,3.3B,4.78B,4.33B
Minority Interest Expense,-,-,-,-,-
Net Income,4.6B,2.92B,3.3B,4.78B,4.33B
Net Income Growth,-,-36.58%,13.15%,44.61%,-9.48%
Net Margin Growth,-,-,-,-,19.56%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,4.6B,2.92B,3.3B,4.78B,4.33B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,4.6B,2.92B,3.3B,4.78B,4.33B
EPS (Basic),5.81,3.79,4.45,6.69,6.42
EPS (Basic) Growth,-,-34.73%,17.29%,50.43%,-4.09%
Basic Shares Outstanding,792.04M,769.59M,742.41M,713.7M,673.62M
EPS (Diluted),5.77,3.77,4.43,6.67,6.39
EPS (Diluted) Growth,-,-34.68%,17.43%,50.72%,-4.20%
Diluted Shares Outstanding,797.86M,774.65M,746.43M,716.19M,676.73M
