Item,2017,2018,2019,2020,2021
Sales/Revenue,17.64B,20.85B,22.6B,23.89B,27.45B
Sales Growth,-,18.21%,8.39%,5.71%,14.91%
Cost of Goods Sold (COGS) incl. D&A,10.87B,10.64B,11.94B,12.74B,12.57B
COGS Growth,-,-2.16%,12.21%,6.73%,-1.36%
COGS excluding D&A,6.15B,6.58B,6.15B,5.83B,6.52B
Depreciation & Amortization Expense,4.73B,4.06B,5.78B,6.91B,6.04B
Depreciation,451M,515M,569M,685M,638M
Amortization of Intangibles,4.28B,3.55B,5.21B,6.22B,5.4B
Gross Income,6.77B,10.21B,10.66B,11.15B,14.89B
Gross Income Growth,-,50.95%,4.41%,4.58%,33.50%
Gross Profit Margin,-,-,-,-,54.23%
SG&A Expense,4.08B,4.82B,6.33B,6.79B,6.2B
SGA Growth,-,18.26%,31.26%,7.28%,-8.71%
Research & Development,3.29B,3.77B,4.7B,4.97B,4.85B
Other SG&A,787M,1.06B,1.64B,1.83B,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,308M,140M,5M,343M,165M
EBIT after Unusual Expense,2.38B,5.25B,4.33B,4.01B,8.52B
Non Operating Income/Expense,(143M),(189M),(753M),153M,115M
Non-Operating Interest Income,44M,114M,98M,53M,16M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,454M,628M,1.44B,1.78B,1.89B
Interest Expense Growth,-,38.33%,129.94%,23.06%,6.08%
Gross Interest Expense,454M,628M,1.44B,1.78B,1.89B
Interest Capitalized,-,-,-,-,-
Pretax Income,1.83B,4.55B,2.23B,2.44B,6.77B
Pretax Income Growth,-,149.04%,-51.02%,9.75%,176.91%
Pretax Margin,-,-,-,-,24.64%
Income Tax,35M,(8.08B),(510M),(518M),29M
Income Tax - Current Domestic,112M,293M,(65M),58M,492M
Income Tax - Current Foreign,158M,171M,342M,506M,534M
Income Tax - Deferred Domestic,(1M),(8.77B),(610M),(788M),(990M)
Income Tax - Deferred Foreign,(234M),221M,(177M),(294M),(7M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.79B,12.63B,2.74B,2.96B,6.74B
Minority Interest Expense,92M,351M,-,-,-
Net Income,1.7B,12.28B,2.74B,2.96B,6.74B
Net Income Growth,-,623.09%,-77.72%,8.22%,127.49%
Net Margin Growth,-,-,-,-,24.54%
Extraordinaries & Discontinued Operations,(6M),(19M),(12M),(1M),-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,(6M),(19M),(12M),(1M),-
Net Income After Extraordinaries,1.69B,12.26B,2.72B,2.96B,6.74B
Preferred Dividends,-,-,29M,297M,299M
Net Income Available to Common,1.69B,12.26B,2.7B,2.66B,6.44B
EPS (Basic),4.18,29.33,6.77,6.62,15.7
EPS (Basic) Growth,-,601.62%,-76.91%,-2.17%,137.00%
Basic Shares Outstanding,405M,418M,398M,402M,410M
EPS (Diluted),4.02,28.44,6.43,6.33,15
EPS (Diluted) Growth,-,607.54%,-77.39%,-1.66%,137.21%
Diluted Shares Outstanding,421M,431M,419M,421M,429M
EBITDA,7.41B,9.45B,10.11B,11.26B,14.73B
EBITDA Growth,-,27.47%,7.02%,11.38%,30.75%
EBITDA Margin,-,-,-,-,53.64%
