Item,2017,2018,2019,2020,2021
Sales/Revenue,12.68B,14.53B,15.07B,6.8B,10.96B
Sales Growth,-,14.56%,3.71%,-54.89%,61.24%
Cost of Goods Sold (COGS) incl. D&A,2.02B,-,-,-,-
COGS Growth,-,-,-,-,-
COGS excluding D&A,1.66B,-,-,-,-
Depreciation & Amortization Expense,363M,426M,641M,642M,599M
Depreciation,187M,248M,466M,475M,437M
Amortization of Intangibles,176M,178M,175M,167M,162M
Gross Income,10.66B,-,-,-,-
Gross Income Growth,-,-,-,-,-
Gross Profit Margin,-,-,-,-,-
SG&A Expense,5.88B,8.76B,9.08B,5.7B,7.71B
SGA Growth,-,49.03%,3.65%,-37.21%,35.31%
Research & Development,-,-,-,-,-
Other SG&A,5.88B,8.76B,9.08B,5.7B,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,8M,367M,(745M),(828M),930M
EBIT after Unusual Expense,(8M),4.97B,6.09B,1.28B,1.72B
Non Operating Income/Expense,(34M),(57M),(18M),(412M),68M
Non-Operating Interest Income,157M,187M,152M,54M,16M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,254M,269M,266M,356M,334M
Interest Expense Growth,-,5.91%,-1.12%,33.83%,-6.18%
Gross Interest Expense,254M,269M,266M,356M,334M
Interest Capitalized,-,-,-,-,-
Pretax Income,4.4B,4.84B,5.96B,567M,1.47B
Pretax Income Growth,-,9.91%,23.23%,-90.48%,158.38%
Pretax Margin,-,-,-,-,13.37%
Income Tax,2.06B,837M,1.09B,508M,300M
Income Tax - Current Domestic,1.33B,100M,56M,(25M),80M
Income Tax - Current Foreign,756M,887M,915M,320M,665M
Income Tax - Deferred Domestic,(22M),(147M),134M,275M,(342M)
Income Tax - Deferred Foreign,(10M),(3M),(12M),(62M),(103M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,2.34B,4B,4.87B,59M,1.17B
Minority Interest Expense,-,-,-,-,-
Net Income,2.34B,4B,4.87B,59M,1.17B
Net Income Growth,-,70.78%,21.69%,-98.79%,"1,874.58%"
Net Margin Growth,-,-,-,-,10.63%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,2.34B,4B,4.87B,59M,1.17B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,2.34B,4B,4.87B,59M,1.17B
EPS (Basic),47.78,84.26,112.92,1.44,28.39
EPS (Basic) Growth,-,76.35%,34.02%,-98.72%,"1,871.36%"
Basic Shares Outstanding,48.99M,47.45M,43.08M,40.97M,41.04M
EPS (Diluted),46.86,83.26,111.82,1.43,28.17
EPS (Diluted) Growth,-,77.68%,34.30%,-98.72%,"1,864.98%"
Diluted Shares Outstanding,49.95M,48.02M,43.51M,41.16M,41.36M
EBITDA,5.14B,5.77B,5.99B,1.1B,3.24B
EBITDA Growth,-,12.14%,3.80%,-81.71%,196.26%
EBITDA Margin,-,-,-,-,29.60%
