Item,2017,2018,2019,2020,2021
Sales/Revenue,18.33B,17.05B,17.91B,22.28B,29.45B
Sales Growth,-,-6.99%,5.06%,24.41%,32.17%
Cost of Goods Sold (COGS) incl. D&A,8.1B,7.54B,7.93B,9.81B,11.5B
COGS Growth,-,-6.86%,5.09%,23.74%,17.25%
COGS excluding D&A,6.86B,6.37B,6.74B,8.03B,9.33B
Depreciation & Amortization Expense,1.24B,1.18B,1.19B,1.78B,2.17B
Depreciation,577.8M,562.1M,564.4M,637M,718M
Amortization of Intangibles,660.5M,615.6M,625.1M,1.14B,1.45B
Gross Income,10.23B,9.51B,9.98B,12.48B,17.95B
Gross Income Growth,-,-7.09%,5.03%,24.95%,43.90%
Gross Profit Margin,-,-,-,-,60.95%
SG&A Expense,7.08B,6.44B,6.62B,8.16B,9.9B
SGA Growth,-,-9.12%,2.89%,23.28%,21.30%
Research & Development,1.13B,1.06B,1.13B,1.35B,1.74B
Other SG&A,5.95B,5.38B,5.5B,6.82B,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,159.1M,15M,99.5M,89M,400M
EBIT after Unusual Expense,(159.1M),(15M),3.26B,4.22B,7.65B
Non Operating Income/Expense,103.6M,34.5M,12M,474M,178M
Non-Operating Interest Income,7.5M,9.2M,139M,71M,11M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,162.7M,136.9M,108.6M,273M,241M
Interest Expense Growth,-,-15.86%,-20.67%,151.38%,-11.72%
Gross Interest Expense,162.7M,136.9M,108.6M,273M,241M
Interest Capitalized,-,-,-,-,-
Pretax Income,2.94B,2.96B,3.31B,4.5B,7.6B
Pretax Income Growth,-,0.79%,11.59%,35.99%,69.03%
Pretax Margin,-,-,-,-,25.80%
Income Tax,469M,555.6M,873M,849M,1.25B
Income Tax - Current Domestic,438.7M,347.4M,488.3M,(249M),346M
Income Tax - Current Foreign,457.2M,460.4M,799.9M,580M,1.13B
Income Tax - Deferred Domestic,(365.4M),(239.9M),(287.5M),534M,(206M)
Income Tax - Deferred Foreign,(61.5M),(12.3M),(127.7M),(16M),(23M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,2.47B,2.41B,2.43B,3.65B,6.35B
Minority Interest Expense,-,-,-,-,-
Net Income,2.47B,2.41B,2.43B,3.65B,6.35B
Net Income Growth,-,-2.57%,1.08%,49.90%,74.08%
Net Margin Growth,-,-,-,-,21.55%
Extraordinaries & Discontinued Operations,22.3M,244.6M,575.9M,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,451M,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,22.3M,244.6M,124.9M,-,86M
Net Income After Extraordinaries,2.49B,2.65B,3.01B,3.65B,6.43B
Preferred Dividends,-,-,68.4M,136M,164M
Net Income Available to Common,2.49B,2.65B,2.49B,3.51B,6.27B
EPS (Basic),3.58,3.78,3.48,4.97,8.77
EPS (Basic) Growth,-,5.69%,-8.01%,42.79%,76.50%
Basic Shares Outstanding,695.8M,700.6M,715M,706.2M,714.6M
EPS (Diluted),3.53,3.74,3.43,4.89,8.61
EPS (Diluted) Growth,-,5.83%,-8.11%,42.31%,76.33%
Diluted Shares Outstanding,706.1M,710.2M,725.5M,718.7M,736.8M
EBITDA,4.39B,4.25B,4.55B,6.09B,10.22B
EBITDA Growth,-,-3.19%,7.16%,33.72%,67.87%
EBITDA Margin,-,-,-,-,34.69%
