Item,2017,2018,2019,2020,2021
Sales/Revenue,9.05B,9.71B,10.22B,9.06B,10.24B
Sales Growth,-,7.37%,5.22%,-11.35%,13.02%
Cost of Goods Sold (COGS) incl. D&A,7.99B,8.54B,9.01B,8B,8.67B
COGS Growth,-,6.86%,5.49%,-11.19%,8.40%
COGS excluding D&A,7.83B,8.34B,8.73B,7.71B,8.39B
Depreciation & Amortization Expense,157.1M,202.9M,278.5M,290.6M,283.8M
Depreciation,136M,165.3M,192.5M,204.7M,197.6M
Amortization of Intangibles,21.1M,37.6M,86M,85.9M,86.2M
Gross Income,1.06B,1.18B,1.21B,1.06B,1.57B
Gross Income Growth,-,11.20%,3.27%,-12.58%,47.89%
Gross Profit Margin,-,-,-,-,15.32%
SG&A Expense,118.5M,166.5M,93.8M,58.8M,122.3M
SGA Growth,-,40.51%,-43.66%,-37.31%,107.99%
Research & Development,-,-,-,-,-
Other SG&A,118.5M,166.5M,93.8M,58.8M,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,-,33.9M,413.8M,84.6M
EBIT after Unusual Expense,-,-,1.09B,588.4M,1.36B
Non Operating Income/Expense,(28.3M),(71.8M),(45.2M),(66.8M),(900K)
Non-Operating Interest Income,19.4M,21.8M,34.5M,29.5M,29.7M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,88.7M,120.8M,197M,189.8M,168.9M
Interest Expense Growth,-,36.19%,63.08%,-3.65%,-11.01%
Gross Interest Expense,88.7M,120.8M,197M,189.8M,168.9M
Interest Capitalized,-,-,-,-,-
Pretax Income,840.8M,838M,878.3M,361.3M,1.22B
Pretax Income Growth,-,-0.33%,4.81%,-58.86%,238.25%
Pretax Margin,-,-,-,-,11.93%
Income Tax,271.3M,199.2M,204.8M,8M,251.8M
Income Tax - Current Domestic,172.9M,63.2M,102.9M,(56.3M),132.8M
Income Tax - Current Foreign,107.9M,121.9M,92.2M,110.7M,127.2M
Income Tax - Deferred Domestic,(17.9M),33.3M,18.2M,(11.5M),12.3M
Income Tax - Deferred Foreign,8.4M,(19.2M),(8.5M),(34.9M),(20.5M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,900K,(1.1M),400K,900K,2.5M
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,570.4M,637.7M,673.9M,354.2M,972.8M
Minority Interest Expense,16M,18.8M,17.9M,3.1M,20M
Net Income,554.4M,618.9M,656M,351.1M,952.8M
Net Income Growth,-,11.63%,5.99%,-46.48%,171.38%
Net Margin Growth,-,-,-,-,9.30%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,554.4M,618.9M,656M,351.1M,952.8M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,554.4M,618.9M,656M,351.1M,952.8M
EPS (Basic),1.42,1.61,1.7,0.9,2.42
EPS (Basic) Growth,-,13.47%,5.22%,-46.93%,168.90%
Basic Shares Outstanding,389.6M,383.3M,386.1M,389.4M,393M
EPS (Diluted),1.4,1.59,1.68,0.89,2.39
EPS (Diluted) Growth,-,14.02%,5.40%,-46.75%,167.85%
Diluted Shares Outstanding,397.3M,389M,391.2M,393.2M,398.4M
EBITDA,1.1B,1.21B,1.4B,1.29B,1.73B
EBITDA Growth,-,10.61%,15.41%,-7.55%,33.86%
EBITDA Margin,-,-,-,-,16.90%
