Item,2017,2018,2019,2020,2021
Sales/Revenue,3.38B,3.53B,3.65B,3.42B,3.67B
Sales Growth,-,4.50%,3.20%,-6.35%,7.41%
Cost of Goods Sold (COGS) incl. D&A,2.62B,2.74B,2.76B,2.57B,2.77B
COGS Growth,-,4.29%,0.86%,-6.93%,7.87%
COGS excluding D&A,2.14B,2.22B,2.19B,1.95B,2.11B
Depreciation & Amortization Expense,483.5M,517.5M,567.2M,615M,657M
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,759M,798.8M,888.5M,848M,899M
Gross Income Growth,-,5.24%,11.23%,-4.56%,6.01%
Gross Profit Margin,-,-,-,-,24.50%
SG&A Expense,-,-,-,-,-
SGA Growth,-,-,-,-,-
Research & Development,-,-,-,-,-
Other SG&A,-,-,-,-,-
Other Operating Expense,105.6M,104.4M,110.8M,108M,104M
Unusual Expense,-,-,-,-,-
EBIT after Unusual Expense,-,-,-,-,-
Non Operating Income/Expense,33.6M,43.8M,51.1M,25M,13M
Non-Operating Interest Income,500K,-,-,-,-
Equity in Affiliates (Pretax),44.8M,54.6M,53M,61M,62M
Interest Expense,199.5M,222.8M,245.7M,259M,270M
Interest Expense Growth,-,11.68%,10.28%,5.41%,4.25%
Gross Interest Expense,215.6M,247M,272.9M,275M,277M
Interest Capitalized,16.1M,24.2M,27.2M,16M,7M
Pretax Income,532.8M,570M,636.1M,567M,600M
Pretax Income Growth,-,6.98%,11.60%,-10.86%,5.82%
Pretax Margin,-,-,-,-,16.35%
Income Tax,66.7M,47.7M,68.7M,(57M),(74M)
Income Tax - Current Domestic,(72.9M),(19.3M),13.1M,9M,4M
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,171.8M,97.7M,111.1M,30M,24M
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,32.2M,30.7M,55.5M,96M,102M
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,466.1M,522.3M,567.4M,624M,674M
Minority Interest Expense,-,-,-,-,-
Net Income,466.1M,522.3M,567.4M,624M,674M
Net Income Growth,-,12.06%,8.63%,9.98%,8.01%
Net Margin Growth,-,-,-,-,18.37%
Extraordinaries & Discontinued Operations,1.4M,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,1.4M,-,-,-,-
Net Income After Extraordinaries,467.5M,522.3M,567.4M,624M,674M
Preferred Dividends,10.2M,10.2M,10.2M,10M,15M
Net Income Available to Common,457.3M,512.1M,557.2M,614M,659M
EPS (Basic),1.99,2.19,2.34,2.47,2.63
EPS (Basic) Growth,-,10.11%,6.57%,5.80%,6.56%
Basic Shares Outstanding,229.7M,233.6M,238.5M,248.4M,250.2M
EPS (Diluted),1.99,2.19,2.34,2.47,2.63
EPS (Diluted) Growth,-,10.11%,6.57%,5.67%,6.47%
Diluted Shares Outstanding,229.7M,233.6M,238.5M,248.7M,250.7M
EBITDA,1.14B,1.21B,1.34B,1.36B,1.45B
EBITDA Growth,-,6.60%,10.97%,0.75%,7.16%
EBITDA Margin,-,-,-,-,39.57%
