Item,2017,2018,2019,2020,2021
Sales/Revenue,25.9B,25.94B,25.87B,26.58B,28.72B
Sales Growth,-,0.16%,-0.27%,2.76%,8.05%
Cost of Goods Sold (COGS) incl. D&A,15.82B,15.91B,15.79B,16.37B,18.07B
COGS Growth,-,0.55%,-0.73%,3.71%,10.33%
COGS excluding D&A,15B,15.09B,14.74B,15.26B,16.95B
Depreciation & Amortization Expense,816M,811M,1.05B,1.12B,1.11B
Depreciation,638M,635M,873M,922M,979M
Amortization of Intangibles,178M,176M,174M,194M,134M
Gross Income,10.08B,10.03B,10.08B,10.21B,10.66B
Gross Income Growth,-,-0.45%,0.46%,1.27%,4.39%
Gross Profit Margin,-,-,-,-,37.10%
SG&A Expense,5.68B,6.16B,5.85B,5.9B,6.08B
SGA Growth,-,8.32%,-4.95%,0.80%,3.05%
Research & Development,366M,362M,351M,332M,347M
Other SG&A,5.32B,5.8B,5.5B,5.57B,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,1.11B,(178M),307M,(280M),(800M)
EBIT after Unusual Expense,(1.11B),4.05B,(307M),4.59B,5.38B
Non Operating Income/Expense,277M,28M,9M,207M,100M
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,396M,462M,484M,423M,365M
Interest Expense Growth,-,16.67%,4.76%,-12.60%,-13.71%
Gross Interest Expense,396M,462M,484M,423M,365M
Interest Capitalized,-,-,-,-,-
Pretax Income,3.16B,3.62B,3.45B,4.37B,5.11B
Pretax Income Growth,-,14.41%,-4.83%,26.91%,16.90%
Pretax Margin,-,-,-,-,17.80%
Income Tax,666M,773M,2M,1.22B,1.19B
Income Tax - Current Domestic,1.35B,(11M),174M,538M,386M
Income Tax - Current Foreign,541M,552M,459M,756M,599M
Income Tax - Deferred Domestic,(1.24B),232M,142M,(89M),(22M)
Income Tax - Deferred Foreign,15M,-,(773M),19M,227M
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,344M,548M,501M,421M,393M
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,2.84B,3.4B,3.94B,3.57B,4.31B
Minority Interest Expense,14M,14M,15M,14M,14M
Net Income,2.83B,3.38B,3.93B,3.56B,4.3B
Net Income Growth,-,19.55%,16.21%,-9.52%,20.96%
Net Margin Growth,-,-,-,-,14.97%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,2.83B,3.38B,3.93B,3.56B,4.3B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,2.83B,3.38B,3.93B,3.56B,4.3B
EPS (Basic),1.87,2.3,2.72,2.48,3.06
EPS (Basic) Growth,-,22.89%,18.38%,-8.63%,23.37%
Basic Shares Outstanding,1.51B,1.47B,1.45B,1.43B,1.4B
EPS (Diluted),1.85,2.28,2.69,2.47,3.04
EPS (Diluted) Growth,-,23.17%,18.44%,-8.45%,23.36%
Diluted Shares Outstanding,1.53B,1.49B,1.46B,1.44B,1.41B
EBITDA,5.21B,4.69B,5.27B,5.42B,5.69B
EBITDA Growth,-,-10.04%,12.52%,2.84%,4.89%
EBITDA Margin,-,-,-,-,19.81%
