Item,2017,2018,2019,2020,2021
Interest Income,9B,13.89B,17.1B,10.16B,9.41B
Interest Income Growth,-,54.41%,23.08%,-40.57%,-7.39%
Interest and Fees on Loans,3.3B,4.25B,4.78B,4.14B,4.21B
Interest Income on Fed. Funds,169M,1.98B,3.49B,(194M),(1.2B)
Interest Income on Fed. Repos,-,-,-,-,-
Interest on Bank Deposits,-,-,-,-,-
Other Interest or Dividend Income,5.53B,7.67B,8.83B,6.21B,6.4B
Total Internest Expense,5.7B,10.09B,12.4B,3.85B,1.37B
Total Internest Expense Growth,-,77.04%,22.98%,-68.97%,-64.51%
Interest Expense on Bank Deposits,187M,1.26B,1.89B,953M,409M
Other Interest Expense,4.27B,6.93B,7.91B,1.91B,-
Interest Expense on Debt,4.29B,5.03B,5.05B,3.25B,2.73B
Interest Capitalized,-,-,-,-,-
Other Borrowed Funds,(12M),1.9B,2.86B,(1.34B),(2.26B)
Net Interest Income,3.3B,3.81B,4.69B,6.31B,8.05B
Net Interest Income Growth,-,15.33%,23.33%,34.49%,27.44%
Loan Loss Provision,-,-,-,-,4M
Loan Loss Provision Growth,-,-,-,-,-
Net Interest Income after Provision,3.3B,3.81B,4.69B,6.31B,8.04B
Net Interest Inc After Loan Loss Prov Growth,-,15.33%,23.33%,34.49%,27.37%
Net Interest Margin,-,-,-,-,0.90%
Non-Interest Income,34.72B,36.28B,36.89B,41.93B,51.94B
Securities Gain,855M,445M,1.64B,1.12B,1.53B
Trading Account Income,10.47B,10.64B,10.7B,13.09B,11.8B
"Trust Income, Commissions & Fees",21.86B,23.57B,23.17B,26.8B,36.48B
Commission & Fee Income,10.06B,10.67B,10.08B,12.53B,16.52B
Other Operating Income,868M,780M,965M,373M,1.21B
Non-Interest Expense,27.27B,28.72B,29.93B,33.5B,39.68B
Labor & Related Expense,17.17B,17.63B,18.84B,20.85B,24.63B
Equipment Expense,1.33B,1.39B,1.43B,1.56B,1.03B
Other Operating Expense,7.26B,8.14B,7.28B,7.64B,9.16B
Operating Income,10.75B,11.36B,11.65B,14.74B,20.31B
Operating Income Growth,-,5.69%,2.51%,26.57%,37.72%
Operating Income Margin,-,-,-,-,33.10%
Non-Operating Income (Expense),142M,125M,(64M),-,54M
Non-Operating Interest Income,-,-,-,-,-
Miscellaneous Non Operating Expense,-,-,-,-,(50M)
Equity in Affiliates (Pretax),142M,125M,(64M),-,104M
Unusual Expense,466M,252M,262M,336M,-
Pretax Income,10.4B,11.24B,11.3B,14.42B,19.67B
Pretax Income Growth,-,8.02%,0.57%,27.58%,36.41%
Pretax Margin,-,-,-,-,32.06%
Income Taxes,4.17B,2.35B,2.06B,3.24B,4.55B
Income Tax - Current - Domestic,601M,893M,1.13B,2.04B,(1.52B)
Income Tax - Current - Foreign,813M,1.01B,766M,1.45B,1.52B
Income Tax - Deferred - Domestic,2.74B,386M,231M,(287M),22M
Income Tax - Deferred - Foreign,14M,63M,(66M),37M,(18M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,6.24B,8.89B,9.24B,11.18B,15.12B
Minority Interest Expense,105M,135M,195M,183M,86M
Net Income,6.13B,8.75B,9.04B,11B,15.03B
Net Income Growth,-,42.77%,3.31%,21.61%,36.72%
Net Income Margin,-,-,-,-,24.50%
Extraordinaries & Discontinued Operations,(19M),(4M),-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,(19M),(4M),-,-,-
Net Income After Extraordinaries,6.15B,8.76B,-,-,-
Preferred Dividends,523M,526M,530M,496M,468M
Net Income Available to Common,5.59B,8.22B,8.51B,10.5B,14.57B
EPS (Basic),3.14,4.81,5.26,6.55,8.16
EPS (Basic) Grwoth,-,53.34%,9.35%,24.43%,24.58%
Basic Shares Outstanding,1.78B,1.71B,1.62B,1.6B,1.79B
EPS (Diluted),3.07,4.73,5.19,6.47,8.03
EPS (Diluted) Growth,-,54.16%,9.71%,24.57%,24.19%
Diluted Shares Outstanding,1.82B,1.74B,1.64B,1.62B,1.81B
