Item,2017,2018,2019,2020,2021
Sales/Revenue,16.34B,16.3B,17.49B,17.08B,21.27B
Sales Growth,-,-0.23%,7.26%,-2.34%,24.54%
Cost of Goods Sold (COGS) incl. D&A,9.89B,10.97B,12.22B,11.34B,12.4B
COGS Growth,-,10.98%,11.38%,-7.18%,9.36%
COGS excluding D&A,7.25B,6.82B,7.74B,7.03B,8.19B
Depreciation & Amortization Expense,2.64B,4.15B,4.48B,4.32B,4.21B
Depreciation,2.6B,4.13B,4.46B,4.29B,4.19B
Amortization of Intangibles,35M,19M,18M,27M,25M
Gross Income,6.45B,5.33B,5.27B,5.73B,8.86B
Gross Income Growth,-,-17.40%,-1.20%,8.87%,54.57%
Gross Profit Margin,-,-,-,-,41.67%
SG&A Expense,-,-,-,-,-
SGA Growth,-,-,-,-,-
Research & Development,-,-,-,-,-
Other SG&A,-,-,-,-,-
Other Operating Expense,1.46B,1.51B,1.7B,1.71B,1.8B
Unusual Expense,1.2B,(3M),(591M),(236M),3.22B
EBIT after Unusual Expense,(1.2B),3.83B,4.16B,4.26B,3.84B
Non Operating Income/Expense,1.91B,4.33B,1.06B,964M,102M
Non-Operating Interest Income,81M,51M,54M,38M,-
Equity in Affiliates (Pretax),141M,358M,66M,(1.35B),666M
Interest Expense,1.26B,1.22B,1.51B,1.5B,1.44B
Interest Expense Growth,-,-3.80%,23.93%,-0.53%,-4.27%
Gross Interest Expense,1.35B,1.31B,1.51B,1.67B,1.57B
Interest Capitalized,89M,94M,-,168M,139M
Pretax Income,4.66B,7.35B,3.84B,2.41B,3.18B
Pretax Income Growth,-,57.67%,-47.82%,-37.10%,31.58%
Pretax Margin,-,-,-,-,14.93%
Income Tax,(660M),1.58B,448M,44M,348M
Income Tax - Current Domestic,188M,93M,190M,123M,(88M)
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,(848M),1.48B,258M,(79M),436M
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,5.32B,5.78B,3.39B,2.37B,2.83B
Minority Interest Expense,(57M),(862M),(381M),(550M),(746M)
Net Income,5.38B,6.64B,3.77B,2.92B,3.57B
Net Income Growth,-,23.38%,-43.22%,-22.55%,22.40%
Net Margin Growth,-,-,-,-,16.80%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,5.38B,6.64B,3.77B,2.92B,3.57B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,5.38B,6.64B,3.77B,2.92B,3.57B
EPS (Basic),2.87,3.51,1.95,1.49,1.82
EPS (Basic) Growth,-,22.21%,-44.27%,-23.78%,22.18%
Basic Shares Outstanding,1.88B,1.89B,1.93B,1.96B,1.96B
EPS (Diluted),2.85,3.47,1.94,1.48,1.81
EPS (Diluted) Growth,-,21.86%,-44.07%,-23.61%,22.20%
Diluted Shares Outstanding,1.89B,1.91B,1.94B,1.97B,1.97B
EBITDA,7.64B,7.97B,8.05B,8.34B,11.28B
EBITDA Growth,-,4.36%,0.98%,3.63%,35.20%
EBITDA Margin,-,-,-,-,53.02%
