Item,2017,2018,2019,2020,2021
Sales/Revenue,9.02B,9.88B,9.49B,9.3B,8.73B
Sales Growth,-,9.57%,-3.92%,-2.05%,-6.12%
Cost of Goods Sold (COGS) incl. D&A,7.66B,7.38B,7.6B,7.3B,7.82B
COGS Growth,-,-3.58%,2.98%,-3.93%,7.00%
COGS excluding D&A,5.47B,6.04B,6.18B,5.84B,6.41B
Depreciation & Amortization Expense,2.19B,1.35B,1.43B,1.47B,1.4B
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,1.36B,2.5B,1.89B,1.99B,914M
Gross Income Growth,-,83.60%,-24.31%,5.50%,-54.16%
Gross Profit Margin,-,-,-,-,10.47%
SG&A Expense,-,-,-,-,-
SGA Growth,-,-,-,-,-
Research & Development,-,-,-,-,-
Other SG&A,-,-,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,(84M),412M,(630M),(256M),(569M)
EBIT after Unusual Expense,84M,2.09B,2.52B,2.25B,1.48B
Non Operating Income/Expense,132M,159M,(115M),550M,(2.09B)
Non-Operating Interest Income,66M,70M,73M,67M,72M
Equity in Affiliates (Pretax),14M,15M,14M,14M,16M
Interest Expense,388M,474M,542M,580M,567M
Interest Expense Growth,-,22.16%,14.35%,7.01%,-2.24%
Gross Interest Expense,388M,474M,542M,580M,567M
Interest Capitalized,-,-,-,-,-
Pretax Income,1.27B,1.86B,1.95B,2.3B,(1.09B)
Pretax Income Growth,-,46.29%,5.12%,18.00%,-147.33%
Pretax Margin,-,-,-,-,-12.48%
Income Tax,(306M),417M,257M,396M,(441M)
Income Tax - Current Domestic,84M,(27M),122M,419M,395M
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,(390M),444M,135M,(23M),(836M)
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.57B,1.44B,1.69B,1.91B,(648M)
Minority Interest Expense,-,-,-,-,-
Net Income,1.57B,1.44B,1.69B,1.91B,(648M)
Net Income Growth,-,-8.64%,17.73%,12.52%,-134.02%
Net Margin Growth,-,-,-,-,-7.42%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.57B,1.44B,1.69B,1.91B,(648M)
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.57B,1.44B,1.69B,1.91B,(648M)
EPS (Basic),3.12,2.85,3.36,3.78,(1.29)
EPS (Basic) Growth,-,-8.65%,17.86%,12.52%,-134.02%
Basic Shares Outstanding,505M,504M,504M,504M,504M
EPS (Diluted),3.1,2.83,3.34,3.76,(1.29)
EPS (Diluted) Growth,-,-8.71%,17.99%,12.52%,-134.22%
Diluted Shares Outstanding,507M,507M,507M,507M,504M
EBITDA,3.55B,3.84B,3.32B,3.46B,2.32B
EBITDA Growth,-,8.38%,-13.69%,4.43%,-33.09%
EBITDA Margin,-,-,-,-,26.54%
