Item,2017,2018,2019,2020,2021
Sales/Revenue,2.67B,2.75B,2.85B,2.92B,3.42B
Sales Growth,-,3.21%,3.36%,2.40%,17.18%
Total Investment Income,-,-,-,-,-
Sundry Revenue/Income,33.24M,31.1M,30.36M,44.15M,45.67M
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,-,-,-,-,-
Total Expense,1.29B,1.23B,1.42B,1.56B,1.79B
Total Interest Expense,12.69M,32.54M,45.64M,56.28M,90.77M
Depreciation & Amortization Expense,454.53M,483.65M,512.92M,553.26M,713.43M
Other Operating Expense,37.55M,(80.59M),26.61M,19.07M,59.87M
Operating Income,1.38B,1.53B,1.43B,1.36B,1.62B
Operating Income Growth,-,10.72%,-6.51%,-4.69%,19.45%
Non-Operating Income (Expense),45.8M,185.96M,106.15M,6.36M,369.87M
Non-Operating Interest Income,-,-,-,-,-
Miscellaneous Non Operating Expense,(29.85M),82.46M,36.61M,(74.14M),137.78M
Equity in Affiliates (Pretax),75.66M,103.5M,69.55M,80.5M,232.09M
Unusual Expense,7.79M,-,-,-,-
Pretax Income,1.4B,1.68B,1.49B,1.31B,1.9B
Pretax Income Growth,-,19.66%,-11.45%,-11.93%,45.32%
Pretax Margin,-,-,-,-,55.70%
Income Taxes,4.8M,5.44M,5.08M,7.95M,11.53M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.4B,1.67B,1.48B,1.3B,1.89B
Minority Interest Expense,6.25M,6.19M,5.12M,4.01M,6.38M
Net Income,1.39B,1.67B,1.48B,1.3B,1.88B
Net Income Growth,-,19.77%,-11.44%,-12.13%,45.28%
Net Margin Growth,-,-,-,-,55.18%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.39B,1.67B,1.48B,1.3B,1.88B
Preferred Dividends,270.61M,222.13M,247.77M,258.88M,220.82M
Net Income Available to Common,1.12B,1.44B,1.23B,1.04B,1.66B
EPS (Basic),6.75,8.56,7.3,6.29,9.91
EPS (Basic) Growth,-,26.82%,-14.67%,-13.81%,57.40%
Basic Shares Outstanding,173.61M,173.97M,174.29M,174.49M,174.86M
EPS (Diluted),6.73,8.54,7.29,6.29,9.87
EPS (Diluted) Growth,-,26.97%,-14.63%,-13.76%,56.90%
Diluted Shares Outstanding,174.15M,174.3M,174.53M,174.64M,175.57M
