Item,2017,2018,2019,2020,2021
Sales/Revenue,22.38B,24.72B,26.5B,23.51B,29.06B
Sales Growth,-,10.44%,7.21%,-11.28%,23.59%
Cost of Goods Sold (COGS) incl. D&A,17.04B,19.1B,20.77B,20.32B,22.46B
COGS Growth,-,12.12%,8.73%,-2.20%,10.56%
COGS excluding D&A,15.97B,17.8B,19.32B,17.62B,19.69B
Depreciation & Amortization Expense,1.07B,1.31B,1.45B,2.7B,2.77B
Depreciation,1.01B,1.12B,1.22B,2.48B,2.55B
Amortization of Intangibles,57.5M,186.5M,232.8M,223.7M,223.4M
Gross Income,5.34B,5.62B,5.73B,3.2B,6.6B
Gross Income Growth,-,5.06%,2.02%,-44.21%,106.40%
Gross Profit Margin,-,-,-,-,22.70%
SG&A Expense,1.39B,1.76B,1.82B,1.68B,1.93B
SGA Growth,-,25.99%,3.91%,-7.92%,15.06%
Research & Development,-,-,-,-,-
Other SG&A,1.39B,1.76B,1.82B,1.68B,1.93B
Other Operating Expense,-,-,-,-,-
Unusual Expense,158.5M,(1.07B),147.7M,282.3M,146.8M
EBIT after Unusual Expense,3.79B,4.93B,3.76B,1.23B,4.52B
Non Operating Income/Expense,104.2M,464.4M,618.9M,15.2M,879.8M
Non-Operating Interest Income,126.5M,259.9M,132.2M,49.9M,70.9M
Equity in Affiliates (Pretax),391.4M,301.2M,298M,322.5M,385.3M
Interest Expense,97.3M,175.2M,339.8M,457.5M,496.8M
Interest Expense Growth,-,80.06%,93.95%,34.64%,8.59%
Gross Interest Expense,97.3M,175.2M,339.8M,457.5M,496.8M
Interest Capitalized,-,-,-,-,-
Pretax Income,4.32B,5.78B,4.47B,1.16B,5.36B
Pretax Income Growth,-,33.87%,-22.73%,-73.93%,360.06%
Pretax Margin,-,-,-,-,18.43%
Income Tax,1.43B,1.26B,871.6M,239.7M,1.16B
Income Tax - Current Domestic,1.1B,208.2M,1.86B,86.8M,871.8M
Income Tax - Current Foreign,216.6M,327M,458.3M,181.4M,409.8M
Income Tax - Deferred Domestic,135.4M,735.2M,(1.4B),(13.2M),4M
Income Tax - Deferred Foreign,(21.2M),(8.4M),(51.9M),(15.3M),(129M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,2.88B,4.52B,3.59B,924.7M,4.2B
Minority Interest Expense,200K,(300K),(4.6M),(3.6M),1M
Net Income,2.88B,4.52B,3.6B,928.3M,4.2B
Net Income Growth,-,56.63%,-20.34%,-74.21%,352.36%
Net Margin Growth,-,-,-,-,14.45%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,2.88B,4.52B,3.6B,928.3M,4.2B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,2.88B,4.52B,3.6B,928.3M,4.2B
EPS (Basic),1.99,3.27,2.95,0.79,3.57
EPS (Basic) Growth,-,64.32%,-9.87%,-73.14%,350.54%
Basic Shares Outstanding,1.45B,1.38B,1.22B,1.17B,1.18B
EPS (Diluted),1.97,3.24,2.92,0.79,3.54
EPS (Diluted) Growth,-,64.47%,-9.92%,-73.09%,350.95%
Diluted Shares Outstanding,1.46B,1.39B,1.23B,1.18B,1.19B
EBITDA,5.02B,5.17B,5.35B,4.22B,7.44B
EBITDA Growth,-,2.94%,3.65%,-21.23%,76.35%
EBITDA Margin,-,-,-,-,25.59%
