Item,2017,2018,2019,2020,2021
Sales/Revenue,11B,10.77B,10.58B,9.65B,10.28B
Sales Growth,-,-2.12%,-1.77%,-8.75%,6.48%
Cost of Goods Sold (COGS) incl. D&A,6.61B,6.7B,6.58B,6.14B,6.84B
COGS Growth,-,1.41%,-1.83%,-6.64%,11.49%
COGS excluding D&A,5.79B,5.84B,5.72B,5.22B,6.06B
Depreciation & Amortization Expense,812.8M,857.5M,859M,922M,786.1M
Depreciation,590.7M,633.4M,637.8M,702M,568.1M
Amortization of Intangibles,222.1M,224.1M,221.2M,220M,218M
Gross Income,4.4B,4.07B,4B,3.52B,3.44B
Gross Income Growth,-,-7.42%,-1.66%,-12.20%,-2.27%
Gross Profit Margin,-,-,-,-,33.42%
SG&A Expense,2.83B,2.58B,2.51B,2.22B,2.34B
SGA Growth,-,-8.88%,-2.78%,-11.56%,5.39%
Research & Development,-,-,-,-,-
Other SG&A,2.83B,2.58B,2.51B,2.22B,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,(105.4M),(126.1M),729.9M,1.7B,(364.7M)
EBIT after Unusual Expense,105.4M,1.62B,767M,(401.7M),1.46B
Non Operating Income/Expense,49.7M,46.8M,6.1M,40.4M,34.9M
Non-Operating Interest Income,6M,8M,8.2M,3.3M,2M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,345.6M,313.9M,301.4M,285.9M,261.6M
Interest Expense Growth,-,-9.17%,-3.98%,-5.14%,-8.50%
Gross Interest Expense,348.1M,319.4M,309.7M,293.6M,270.4M
Interest Capitalized,2.5M,5.5M,8.3M,7.7M,8.8M
Pretax Income,1.38B,1.36B,479.9M,(643.9M),1.24B
Pretax Income Growth,-,-1.69%,-64.71%,-234.17%,292.42%
Pretax Margin,-,-,-,-,12.05%
Income Tax,(204.6M),225.2M,233.7M,301.8M,230.5M
Income Tax - Current Domestic,(172.4M),(27.6M),78.5M,84.2M,50.6M
Income Tax - Current Foreign,36.5M,38.7M,46.7M,111.4M,(1M)
Income Tax - Deferred Domestic,(46M),263.4M,150.5M,121.4M,233.9M
Income Tax - Deferred Foreign,(22.7M),(49.3M),(42M),(15.2M),(53M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.59B,1.13B,246.2M,(945.7M),1.01B
Minority Interest Expense,22.2M,18.1M,4.5M,3.3M,2.8M
Net Income,1.57B,1.12B,241.7M,(949M),1.01B
Net Income Growth,-,-28.69%,-78.35%,-492.64%,205.97%
Net Margin Growth,-,-,-,-,9.78%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.57B,1.12B,241.7M,(949M),1.01B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.57B,1.12B,241.7M,(949M),1.01B
EPS (Basic),7.27,5.17,1.12,(4.38),4.63
EPS (Basic) Growth,-,-28.88%,-78.41%,-492.27%,205.83%
Basic Shares Outstanding,215.4M,216M,216.6M,216.8M,217.1M
EPS (Diluted),7.23,5.15,1.11,(4.38),4.62
EPS (Diluted) Growth,-,-28.72%,-78.38%,-492.83%,205.59%
Diluted Shares Outstanding,216.5M,216.6M,216.9M,216.8M,217.6M
EBITDA,2.38B,2.35B,2.36B,2.22B,1.89B
EBITDA Growth,-,-1.27%,0.24%,-5.76%,-15.09%
EBITDA Margin,-,-,-,-,18.34%
