Item,2017,2018,2019,2020,2021
Sales/Revenue,160.55B,170.81B,181.27B,171.76B,168.86B
Sales Growth,-,6.39%,6.12%,-5.24%,-1.69%
Cost of Goods Sold (COGS) incl. D&A,102.2B,107.85B,112.36B,108.44B,102.67B
COGS Growth,-,5.53%,4.18%,-3.49%,-5.32%
COGS excluding D&A,77.81B,79.42B,84.14B,79.92B,79.81B
Depreciation & Amortization Expense,24.39B,28.43B,28.22B,28.52B,22.86B
Depreciation,19.76B,20.1B,20.29B,20.28B,18.57B
Amortization of Intangibles,4.63B,8.33B,7.93B,8.24B,4.29B
Gross Income,58.35B,62.96B,68.91B,63.32B,66.2B
Gross Income Growth,-,7.90%,9.45%,-8.10%,4.53%
Gross Profit Margin,-,-,-,-,39.20%
SG&A Expense,34.84B,35.67B,38.53B,37.61B,37.74B
SGA Growth,-,2.37%,8.03%,-2.40%,0.34%
Research & Development,1.5B,1.19B,1.28B,1.21B,1.52B
Other SG&A,33.34B,34.47B,37.25B,36.4B,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,623M,1.15B,964M,19.31B,5.11B
EBIT after Unusual Expense,(623M),26.14B,29.41B,6.41B,23.35B
Non Operating Income/Expense,(1.34B),6.69B,(2.55B),(1.45B),9.83B
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),(128M),(48M),6M,95M,631M
Interest Expense,6.28B,7.91B,8.4B,7.91B,6.86B
Interest Expense Growth,-,26.01%,6.22%,-5.88%,-13.22%
Gross Interest Expense,7.18B,8.41B,8.6B,8.03B,7.04B
Interest Capitalized,903M,493M,200M,123M,173M
Pretax Income,15.14B,24.87B,18.47B,(2.86B),26.95B
Pretax Income Growth,-,64.30%,-25.75%,-115.46%,"1,043.52%"
Pretax Margin,-,-,-,-,15.96%
Income Tax,(14.71B),4.92B,3.49B,965M,5.47B
Income Tax - Current Domestic,761M,3.77B,1.19B,(693M),(552M)
Income Tax - Current Foreign,471M,539M,605M,413M,516M
Income Tax - Deferred Domestic,(16.93B),750M,1.8B,1.3B,5.75B
Income Tax - Deferred Foreign,989M,(140M),(99M),(57M),(248M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,29.85B,19.95B,14.98B,(3.82B),21.48B
Minority Interest Expense,397M,583M,1.07B,1.36B,1.4B
Net Income,29.45B,19.37B,13.9B,(5.18B),20.08B
Net Income Growth,-,-34.23%,-28.22%,-137.23%,487.96%
Net Margin Growth,-,-,-,-,11.89%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,29.45B,19.37B,13.9B,(5.18B),20.08B
Preferred Dividends,-,-,3M,193M,207M
Net Income Available to Common,29.45B,19.37B,13.9B,(5.37B),19.87B
EPS (Basic),4.78,2.86,1.9,(0.75),2.77
EPS (Basic) Growth,-,-40.15%,-33.61%,-139.50%,469.58%
Basic Shares Outstanding,6.16B,6.78B,7.32B,7.16B,7.17B
EPS (Diluted),4.77,2.85,1.89,(0.75),2.76
EPS (Diluted) Growth,-,-40.19%,-33.53%,-139.60%,468.00%
Diluted Shares Outstanding,6.18B,6.81B,7.35B,7.16B,7.2B
EBITDA,47.89B,55.72B,58.59B,54.23B,51.32B
EBITDA Growth,-,16.34%,5.16%,-7.44%,-5.37%
EBITDA Margin,-,-,-,-,30.39%
