Item,2017,2018,2019,2020,2021
Sales/Revenue,21.24B,22.83B,21.71B,19.53B,21.8B
Sales Growth,-,7.50%,-4.92%,-10.02%,11.63%
Cost of Goods Sold (COGS) incl. D&A,12.19B,13.29B,12.09B,10.35B,11.29B
COGS Growth,-,9.08%,-9.02%,-14.39%,9.04%
COGS excluding D&A,10.08B,11.1B,9.88B,8.14B,9.08B
Depreciation & Amortization Expense,2.11B,2.19B,2.22B,2.21B,2.21B
Depreciation,2.11B,2.19B,2.22B,2.21B,2.21B
Amortization of Intangibles,-,-,-,-,-
Gross Income,9.05B,9.54B,9.61B,9.18B,10.51B
Gross Income Growth,-,5.36%,0.79%,-4.52%,14.54%
Gross Profit Margin,-,-,-,-,48.22%
SG&A Expense,1.12B,1.22B,1.28B,1.58B,1.18B
SGA Growth,-,9.78%,4.17%,23.61%,-25.38%
Research & Development,-,-,-,-,-
Other SG&A,1.12B,1.22B,1.28B,1.58B,-
Other Operating Expense,(167M),(202M),(215M),(231M),-
Unusual Expense,-,85M,2M,-,-
EBIT after Unusual Expense,-,8.43B,8.55B,-,-
Non Operating Income/Expense,229M,149M,182M,275M,292M
Non-Operating Interest Income,16M,30M,63M,12M,5M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,719M,870M,1.05B,1.14B,1.16B
Interest Expense Growth,-,21.00%,20.69%,8.67%,1.40%
Gross Interest Expense,719M,870M,1.05B,1.14B,1.16B
Interest Capitalized,-,-,-,-,-
Pretax Income,7.63B,7.74B,7.75B,6.98B,8.48B
Pretax Income Growth,-,1.43%,0.08%,-9.90%,21.46%
Pretax Margin,-,-,-,-,38.88%
Income Tax,(3.08B),1.78B,1.83B,1.63B,1.96B
Income Tax - Current Domestic,1.99B,1.43B,1.25B,1.29B,1.79B
Income Tax - Current Foreign,2M,5M,8M,6M,8M
Income Tax - Deferred Domestic,(5.08B),349M,545M,340M,155M
Income Tax - Deferred Foreign,10M,(10M),21M,-,(1M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,10.71B,5.97B,5.92B,5.35B,6.52B
Minority Interest Expense,-,-,-,-,-
Net Income,10.71B,5.97B,5.92B,5.35B,6.52B
Net Income Growth,-,-44.31%,-0.79%,-9.63%,21.95%
Net Margin Growth,-,-,-,-,29.92%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,10.71B,5.97B,5.92B,5.35B,6.52B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,10.71B,5.97B,5.92B,5.35B,6.52B
EPS (Basic),13.42,7.95,8.41,7.9,9.98
EPS (Basic) Growth,-,-40.76%,5.83%,-6.13%,26.33%
Basic Shares Outstanding,798.4M,750.9M,703.5M,677.3M,653.8M
EPS (Diluted),13.36,7.91,8.38,7.88,9.95
EPS (Diluted) Growth,-,-40.79%,5.98%,-6.04%,26.36%
Diluted Shares Outstanding,801.7M,754.3M,706.1M,679.1M,655.4M
EBITDA,10.21B,10.71B,10.77B,10.04B,11.55B
EBITDA Growth,-,4.87%,0.58%,-6.74%,14.95%
EBITDA Margin,-,-,-,-,52.95%
