Item,2017,2018,2019,2020,2021
Sales/Revenue,3.57B,3.75B,3.87B,3.8B,3.83B
Sales Growth,-,4.80%,3.39%,-2.00%,0.86%
Total Investment Income,-,-,-,-,-
Sundry Revenue/Income,6.03M,24.89M,10.98M,7.61M,34.91M
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,-,-,-,-,-
Total Expense,2.5B,2.8B,2.87B,3.05B,3.22B
Total Interest Expense,448.2M,442.5M,451.66M,469.54M,440.09M
Depreciation & Amortization Expense,855.05M,890.14M,912.02M,955.96M,978M
Other Operating Expense,20.05M,66.77M,(17.61M),707K,59.93M
Operating Income,1.08B,945.62M,1B,744.53M,603.72M
Operating Income Growth,-,-12.21%,5.94%,-25.68%,-18.91%
Non-Operating Income (Expense),716.71M,(8.79M),23.57M,264.06M,223.77M
Non-Operating Interest Income,-,-,-,-,-
Miscellaneous Non Operating Expense,717.27M,46.25M,26.02M,262.22M,218.79M
Equity in Affiliates (Pretax),(561K),(55.03M),(2.45M),1.84M,4.98M
Unusual Expense,44.19M,118.3M,190.74M,194.4M,326.02M
Pretax Income,1.3B,376.04M,382.99M,344.65M,61.39M
Pretax Income Growth,-,-71.11%,1.85%,-10.01%,-82.19%
Pretax Margin,-,-,-,-,1.60%
Income Taxes,(59.8M),(39.95M),(56.31M),(96.53M),4.83M
Income Tax - Current Domestic,(4.55M),(1.62M),278K,2.51M,2.78M
Income Tax - Current Foreign,2.31M,1.89M,2.34M,2.93M,3.44M
Income Tax - Deferred Domestic,(51.16M),(33.32M),(52.89M),(92.28M),6.5M
Income Tax - Deferred Foreign,(6.39M),(6.91M),(6.04M),(9.69M),(7.89M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.36B,415.99M,439.3M,441.19M,56.56M
Minority Interest Expense,4.64M,6.51M,6.28M,2.04M,7.55M
Net Income,1.36B,409.48M,433.02M,439.15M,49.01M
Net Income Growth,-,-69.82%,5.75%,1.42%,-88.84%
Net Margin Growth,-,-,-,-,1.28%
Extraordinaries & Discontinued Operations,(110K),(10K),-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,(110K),(10K),-,-,-
Net Income After Extraordinaries,1.36B,409.47M,433.02M,439.15M,49.01M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.36B,409.47M,433.02M,439.15M,49.01M
EPS (Basic),3.82,1.15,1.18,1.18,0.13
EPS (Basic) Growth,-,-69.89%,2.95%,-0.59%,-89.12%
Basic Shares Outstanding,355.33M,356.27M,365.98M,373.37M,382.79M
EPS (Diluted),3.78,1.14,1.17,1.17,0.13
EPS (Diluted) Growth,-,-69.88%,2.73%,-0.37%,-89.12%
Diluted Shares Outstanding,358.57M,359.3M,369.89M,376.5M,386.3M
