Item,2017,2018,2019,2020,2021
Sales/Revenue,3.88B,4.36B,8.2B,7.56B,7.82B
Sales Growth,-,12.41%,87.92%,-7.85%,3.52%
Cost of Goods Sold (COGS) incl. D&A,2.84B,3.15B,6.12B,5.66B,5.69B
COGS Growth,-,10.93%,94.25%,-7.60%,0.52%
COGS excluding D&A,2.74B,3.04B,5.72B,5.18B,5.2B
Depreciation & Amortization Expense,103.25M,109.3M,401.4M,473.3M,491M
Depreciation,66.73M,69.54M,163M,190.9M,204M
Amortization of Intangibles,36.52M,39.75M,238.4M,282.4M,287M
Gross Income,1.04B,1.21B,2.08B,1.9B,2.14B
Gross Income Growth,-,16.45%,71.46%,-8.61%,12.45%
Gross Profit Margin,-,-,-,-,27.29%
SG&A Expense,578.02M,661.09M,1.15B,1.04B,1.18B
SGA Growth,-,14.37%,73.42%,-9.36%,13.65%
Research & Development,95.17M,87.45M,209.9M,162.1M,176M
Other SG&A,482.85M,573.64M,936.6M,877.1M,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,39.4M,74.3M,268.3M,114.1M,83M
EBIT after Unusual Expense,(39.4M),476.34M,662.8M,745.4M,871M
Non Operating Income/Expense,3.79M,(3.37M),(5M),1M,23M
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),2.58M,1.93M,8.1M,9.7M,20M
Interest Expense,77.48M,107.32M,219.1M,198.9M,177M
Interest Expense Growth,-,38.51%,104.16%,-9.22%,-11.01%
Gross Interest Expense,77.48M,107.32M,219.1M,198.9M,177M
Interest Capitalized,-,-,-,-,-
Pretax Income,352.06M,367.58M,446.8M,557.2M,737M
Pretax Income Growth,-,4.41%,21.55%,24.71%,32.27%
Pretax Margin,-,-,-,-,9.42%
Income Tax,89.77M,75.88M,120.3M,144.9M,172M
Income Tax - Current Domestic,89.8M,12.71M,6.2M,23.1M,(54M)
Income Tax - Current Foreign,67.4M,68.47M,141.4M,92.4M,138M
Income Tax - Deferred Domestic,(23.89M),5.95M,22.7M,34.7M,97M
Income Tax - Deferred Foreign,(43.54M),(11.25M),(50M),(5.3M),(9M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(786K),(850K),(1M),(1.2M),(2M)
Consolidated Net Income,261.5M,290.85M,325.5M,411.1M,563M
Minority Interest Expense,29K,(3.24M),(200K),(2.1M),7M
Net Income,261.48M,294.09M,325.7M,413.2M,556M
Net Income Growth,-,12.47%,10.75%,26.87%,34.56%
Net Margin Growth,-,-,-,-,7.11%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,261.48M,294.09M,325.7M,413.2M,556M
Preferred Dividends,-,-,400K,-,-
Net Income Available to Common,261.48M,294.09M,325.3M,413.2M,556M
EPS (Basic),2.74,3.06,1.91,2.18,2.96
EPS (Basic) Growth,-,11.84%,-37.73%,14.05%,36.14%
Basic Shares Outstanding,95.45M,95.99M,170.5M,189.9M,187.7M
EPS (Diluted),2.72,3.05,1.84,2.17,2.96
EPS (Diluted) Growth,-,12.08%,-39.74%,18.14%,36.20%
Diluted Shares Outstanding,96.13M,96.46M,177.3M,190.4M,188.1M
EBITDA,565.83M,659.93M,1.33B,1.33B,1.45B
EBITDA Growth,-,16.63%,101.91%,0.02%,8.42%
EBITDA Margin,-,-,-,-,18.47%
