Item,2017,2018,2019,2020,2021
Sales/Revenue,118.21B,131.54B,136.87B,121.98B,132.51B
Sales Growth,-,11.27%,4.05%,-10.87%,8.63%
Cost of Goods Sold (COGS) incl. D&A,90.71B,102.52B,108.83B,97.69B,106.37B
COGS Growth,-,13.02%,6.16%,-10.24%,8.88%
COGS excluding D&A,89.05B,100.75B,106.79B,95.91B,104.44B
Depreciation & Amortization Expense,1.65B,1.77B,2.04B,1.78B,1.92B
Depreciation,1.27B,1.28B,1.49B,1.4B,1.4B
Amortization of Intangibles,385M,493M,552M,384M,523M
Gross Income,27.51B,29.02B,28.04B,24.29B,26.14B
Gross Income Growth,-,5.50%,-3.39%,-13.36%,7.62%
Gross Profit Margin,-,-,-,-,19.73%
SG&A Expense,21.25B,22.88B,22.91B,20.55B,22.13B
SGA Growth,-,7.70%,0.12%,-10.33%,7.70%
Research & Development,-,-,-,-,-
Other SG&A,21.25B,22.88B,22.91B,20.55B,22.13B
Other Operating Expense,-,-,-,-,-
Unusual Expense,886M,188M,311M,3.1B,959M
EBIT after Unusual Expense,5.37B,(188M),4.82B,(3.1B),3.06B
Non Operating Income/Expense,37M,450M,251M,66M,566M
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),135M,191M,164M,341M,(1.14B)
Interest Expense,693M,616M,704M,613M,491M
Interest Expense Growth,-,-11.11%,14.29%,-12.93%,-19.90%
Gross Interest Expense,693M,616M,704M,613M,491M
Interest Capitalized,-,-,-,-,-
Pretax Income,4.85B,5.98B,4.53B,446M,2B
Pretax Income Growth,-,23.12%,-24.23%,-90.15%,347.31%
Pretax Margin,-,-,-,-,1.51%
Income Tax,760M,998M,588M,339M,667M
Income Tax - Current Domestic,804M,969M,247M,233M,194M
Income Tax - Current Foreign,390M,353M,241M,135M,234M
Income Tax - Deferred Domestic,(330M),(266M),155M,(81M),(56M)
Income Tax - Deferred Foreign,(104M),(58M),(55M),52M,295M
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,8M,54M,23M,31M,627M
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,4.1B,5.03B,3.96B,138M,1.96B
Minority Interest Expense,23M,7M,(20M),(42M),(39M)
Net Income,4.08B,5.02B,3.98B,180M,1.99B
Net Income Growth,-,23.20%,-20.74%,-95.48%,"1,007.78%"
Net Margin Growth,-,-,-,-,1.50%
Extraordinaries & Discontinued Operations,-,-,-,276M,548M
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,322M
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,276M,226M
Net Income After Extraordinaries,4.08B,5.02B,3.98B,456M,2.54B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,4.08B,5.02B,3.98B,456M,2.22B
EPS (Basic),3.8,5.07,4.32,0.52,2.57
EPS (Basic) Growth,-,33.41%,-14.76%,-88.00%,395.10%
Basic Shares Outstanding,1.07B,991M,921.5M,879.4M,864.8M
EPS (Diluted),3.78,5.05,4.31,0.52,2.56
EPS (Diluted) Growth,-,33.58%,-14.60%,-87.99%,394.65%
Diluted Shares Outstanding,1.08B,995M,923.5M,880.3M,866.4M
EBITDA,7.91B,7.91B,7.17B,5.53B,5.94B
EBITDA Growth,-,-0.08%,-9.40%,-22.79%,7.39%
EBITDA Margin,-,-,-,-,4.48%
