Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,6.38B,6.01B,4.47B,4.64B,4.79B
Cash & Short Term Investments Growth,-,-5.69%,-25.71%,3.86%,3.26%
Cash Only,6.38B,6.01B,4.47B,4.64B,4.79B
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,9.35B,8.92B,12.9B,22.62B,19.69B
Short Term Receivables Growth,-,-4.58%,44.60%,75.29%,-12.95%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,4.9M,5.5M,5.5M,-,-
"Net Property, Plant & Equipments",813.2M,784.8M,859.4M,887.3M,932.8M
Other Assets (Including Intangibles),10.13B,10.01B,13.88B,13.85B,13.44B
Other Assets,1.06B,1.04B,1.26B,1.24B,1.22B
Intangible Assets,9.08B,8.97B,12.62B,12.61B,12.23B
Total Assets,27.82B,26.92B,33.35B,43.16B,39.99B
Total Assets Growth,-,-3.24%,23.89%,29.44%,-7.35%
Return On Average Assets,-,-,-,-,3.26%
