Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,1.42B,1.92B,1.08B,506.87M,690.69M
Cash & Short Term Investments Growth,-,35.35%,-43.76%,-52.99%,36.27%
Cash Only,581.07M,1.26B,536.73M,377.81M,426.71M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,17.88%,23.63%,13.25%,6.10%,8.41%
Total Accounts Receivable,656.61M,660.09M,675.93M,718.79M,668.43M
Total Accounts Receivable Growth,-,0.53%,2.40%,6.34%,-7.01%
"Accounts Receivables, Net",656.61M,660.09M,675.93M,718.79M,668.43M
"Accounts Receivables, Gross",658.56M,662.36M,677.32M,722.07M,670.44M
Bad Debt/Doubtful Accounts,(1.95M),(2.27M),(1.4M),(3.28M),(2.01M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.30,1.30,1.34,1.26,1.35
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,135.69M,142.2M,122.75M,198.87M,169.85M
Miscellaneous Current Assets,135.69M,142.2M,16.66M,198.87M,169.85M
Total Current Assets,2.21B,2.72B,1.88B,1.42B,1.53B
"Net Property, Plant & Equipment",2.37B,2.36B,2.35B,2.4B,2.34B
"Property, Plant & Equipment - Gross",-,-,4.61B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,3.45B,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,2.26B,-,-
Total Investments and Advances,1.16B,835.07M,1.1B,786.71M,640.67M
Other Long-Term Investments,1.16B,835.07M,1.09B,786.71M,640.67M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,1.9B,1.88B,2.47B,3.26B,3.24B
Net Goodwill,1.69B,1.68B,2.16B,2.75B,2.76B
Net Other Intangibles,217.52M,203.6M,-,-,-
Other Assets,176.08M,176.09M,178.35M,168.8M,168.88M
Total Assets,7.92B,8.12B,8.14B,8.3B,8.21B
Total Assets Growth,-,2.46%,0.29%,2.03%,-1.12%
