Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,7.22B,7.8B,7.25B,6.74B,7.56B
Cash & Short Term Investments Growth,-,8.15%,-7.12%,-6.98%,12.15%
Cash Only,7.22B,7.8B,7.25B,6.74B,7.56B
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,8.08B,15.94B,16.22B,16.22B,16.39B
Short Term Receivables Growth,-,97.30%,1.78%,-0.04%,1.05%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,41.69B,33.06B,37.86B,35.91B,41.14B
"Net Property, Plant & Equipments",-,-,919M,-,-
Other Assets (Including Intangibles),112.06B,108.95B,109.71B,103.68B,88.52B
Other Assets,112.06B,108.95B,107.15B,103.68B,88.52B
Intangible Assets,-,-,2.57B,-,-
Total Assets,171.7B,170.73B,175.98B,167.53B,158.5B
Total Assets Growth,-,-0.57%,3.08%,-4.80%,-5.39%
Return On Average Assets,-,-,-,-,1.61%
