Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,2B,3.7B,2.34B,2.27B,2.07B
Cash & Short Term Investments Growth,-,84.89%,-36.66%,-3.07%,-9.01%
Cash Only,2B,3.7B,2.34B,2.27B,2.2B
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,1.02B,1.08B,1.08B,1.19B,1.08B
Short Term Receivables Growth,-,6.14%,0.27%,9.67%,-9.37%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,-,50.5M,37.1M,46.6M,29.3M
"Net Property, Plant & Equipments",14.22B,14.27B,19.78B,29.18B,28.88B
Other Assets (Including Intangibles),27.46B,32.26B,37.28B,36.9B,36.25B
Other Assets,3.05B,3.01B,3.21B,3.36B,4.06B
Intangible Assets,24.42B,29.25B,34.08B,33.53B,32.2B
Total Assets,58.98B,60.53B,69.89B,69.76B,68.12B
Total Assets Growth,-,2.62%,15.46%,-0.18%,-2.36%
Return On Average Assets,-,-,-,-,4.38%
