Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,1.38B,919M,836M,1.05B,983M
Cash & Short Term Investments Growth,-,-33.41%,-9.03%,25.60%,-6.38%
Cash Only,1.09B,609M,544M,595M,740M
Total Short-Term Investments,289M,310M,-,-,-
Short-Term Receivables,3.73B,3.29B,3.24B,3.77B,3.81B
Short Term Receivables Growth,-,-11.78%,-1.43%,16.16%,1.06%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,78M,65M,64M,62M,64M
"Net Property, Plant & Equipments",1.45B,1.36B,1.38B,1.33B,1.26B
Other Assets (Including Intangibles),27.21B,25.42B,25.63B,26.52B,27.84B
Other Assets,17.99B,16.34B,16.71B,17.49B,19.05B
Intangible Assets,9.22B,9.08B,8.93B,9.03B,8.79B
Total Assets,34.58B,31.82B,31.92B,33.49B,34.72B
Total Assets Growth,-,-7.99%,0.32%,4.93%,3.67%
Return On Average Assets,-,-,-,-,3.92%
