Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,487.11M,435.85M,543.79M,457.41M,260.19M
Cash & Short Term Investments Growth,-,-10.52%,24.76%,-15.88%,-43.12%
Cash Only,487.11M,435.85M,543.79M,457.41M,260.19M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,-,-,-,-,-
Short Term Receivables Growth,-,-,-,-,-
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,-,-,3.2M,-,27.17M
"Net Property, Plant & Equipments",-,-,-,-,-
Other Assets (Including Intangibles),522.62M,542.79M,446.05M,409.77M,493.89M
Other Assets,522.62M,542.79M,446.05M,409.77M,493.89M
Intangible Assets,-,-,-,-,-
Total Assets,19.32B,19.48B,19.9B,19.87B,19.77B
Total Assets Growth,-,0.84%,2.17%,-0.16%,-0.51%
Return On Average Assets,-,-,-,-,5.13%
