Item,01-Jan-0001,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,1.08B,1.43B,1.58B,1.16B,1.21B
Cash & Short Term Investments Growth,-,32.59%,10.29%,-26.48%,4.23%
Cash Only,1.07B,1.43B,1.48B,1.11B,1.19B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,10.27%,13.61%,14.71%,11.21%,11.54%
Total Accounts Receivable,1.35B,1.12B,1.24B,1.21B,1.24B
Total Accounts Receivable Growth,-,-16.58%,10.34%,-2.67%,2.66%
"Accounts Receivables, Net",-,1.12B,1.17B,1.21B,1.24B
"Accounts Receivables, Gross",-,1.12B,1.17B,1.21B,1.24B
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.28,1.41,1.34,1.39,1.30
Inventories,1.01B,818M,830M,879M,937M
Finished Goods,-,463M,463M,488M,518M
Work in Progress,-,-,-,-,-
Raw Materials,-,355M,367M,391M,419M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,-,264M,156M,232M,262M
Miscellaneous Current Assets,-,264M,156M,232M,262M
Total Current Assets,3.69B,3.63B,3.8B,3.47B,3.64B
"Net Property, Plant & Equipment",1.05B,1.09B,1.12B,1.14B,1.17B
"Property, Plant & Equipment - Gross",-,-,2.25B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,221M,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,1.12B,-,-
Total Investments and Advances,-,211M,191M,194M,192M
Other Long-Term Investments,-,211M,191M,194M,192M
Long-Term Note Receivables,-,-,6M,-,-
Intangible Assets,4.8B,5.01B,4.96B,4.89B,4.85B
Net Goodwill,-,3.98B,3.98B,3.96B,3.96B
Net Other Intangibles,-,1.03B,-,-,-
Other Assets,-,553M,321M,622M,594M
Total Assets,10.48B,10.49B,10.71B,10.33B,10.46B
Total Assets Growth,-,0.07%,2.04%,-3.53%,1.24%
