Item,01-Jan-0001,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,-,2.59B,1.44B,1.98B,651M
Cash & Short Term Investments Growth,-,-,-44.32%,37.34%,-67.10%
Cash Only,-,2.59B,1.44B,1.98B,651M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,-,24.90%,23.89%,32.84%,13.40%
Total Accounts Receivable,-,230M,242M,240M,167M
Total Accounts Receivable Growth,-,-,5.22%,-0.83%,-30.42%
"Accounts Receivables, Net",-,230M,242M,240M,167M
"Accounts Receivables, Gross",-,230M,242M,240M,167M
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,-,14.43,6.95,12.61,8.68
Inventories,-,1.47B,1.15B,709M,820M
Finished Goods,-,1.25B,941M,521M,627M
Work in Progress,-,-,-,-,-
Raw Materials,-,228M,208M,188M,193M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,-,223M,153M,81M,114M
Miscellaneous Current Assets,-,223M,153M,81M,114M
Total Current Assets,-,4.51B,2.99B,3.01B,1.75B
"Net Property, Plant & Equipment",-,4.57B,2.04B,2.03B,2.12B
"Property, Plant & Equipment - Gross",-,8.84B,3.59B,3.6B,3.73B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,4.27B,1.55B,1.57B,1.61B
Total Investments and Advances,-,119M,125M,126M,126M
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,-,1.04B,793M,793M,793M
Net Goodwill,-,628M,628M,628M,628M
Net Other Intangibles,-,411M,-,-,-
Other Assets,-,85M,26M,23M,28M
Total Assets,-,10.39B,6.03B,6.03B,4.86B
Total Assets Growth,-,-,-41.96%,-0.08%,-19.35%
