Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,4.36B,4.65B,4.54B,5.01B,4.48B
Cash & Short Term Investments Growth,-,6.56%,-2.21%,10.35%,-10.69%
Cash Only,4.36B,4.65B,4.54B,5.01B,4.48B
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,1.36B,1.43B,1.43B,1.37B,1.41B
Short Term Receivables Growth,-,4.93%,0.46%,-4.46%,3.22%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,5.69B,6.52B,7.24B,7.94B,8.39B
"Net Property, Plant & Equipments",1.23B,1.22B,1.18B,1.14B,1.25B
Other Assets (Including Intangibles),9.58B,9.41B,9.83B,9.77B,11.32B
Other Assets,313M,244.4M,323.5M,332.1M,338.3M
Intangible Assets,9.27B,9.17B,9.51B,9.44B,10.98B
Total Assets,23.13B,24.17B,25B,25.83B,27.6B
Total Assets Growth,-,4.49%,3.42%,3.35%,6.83%
Return On Average Assets,-,-,-,-,7.90%
