Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,6.42B,7.36B,9.32B,7.26B,6.5B
Cash & Short Term Investments Growth,-,14.73%,26.65%,-22.11%,-10.52%
Cash Only,6.42B,7.36B,9.32B,7.26B,6.5B
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,5B,5.46B,5.72B,5.58B,5.12B
Short Term Receivables Growth,-,9.15%,4.82%,-2.53%,-8.32%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,5B,4.13B,4.03B,4.06B,4.18B
"Net Property, Plant & Equipments",1.35B,2.5B,2.38B,2.43B,2.44B
Other Assets (Including Intangibles),157.5B,148.24B,129.25B,121.63B,105.4B
Other Assets,123.62B,114.4B,95.45B,87.86B,71.67B
Intangible Assets,33.88B,33.84B,33.8B,33.76B,33.72B
Total Assets,176.96B,169.64B,152.65B,143.33B,125.97B
Total Assets Growth,-,-4.14%,-10.01%,-6.11%,-12.11%
Return On Average Assets,-,-,-,-,3.58%
