Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,14.19B,15.96B,17.36B,15.35B,13.42B
Cash & Short Term Investments Growth,-,12.49%,8.76%,-11.58%,-12.59%
Cash Only,11.2B,13.68B,14.12B,12.52B,10.9B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,12.81%,14.39%,15.88%,14.90%,13.37%
Total Accounts Receivable,11.28B,11.74B,12.52B,11.1B,12.54B
Total Accounts Receivable Growth,-,4.11%,6.63%,-11.29%,12.94%
"Accounts Receivables, Net",7.71B,7.88B,8.34B,7.57B,8.01B
"Accounts Receivables, Gross",7.74B,7.9B,8.36B,7.6B,8.03B
Bad Debt/Doubtful Accounts,(27M),(25M),(21M),(29M),(25M)
Other Receivable,3.56B,3.86B,-,-,-
Accounts Receivable Turnover,1.04,0.99,0.96,1.05,0.95
Inventories,2.14B,2.16B,2.1B,2.1B,2.14B
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.56B,1.58B,1.29B,1.56B,2.09B
Miscellaneous Current Assets,1.56B,1.58B,1.29B,1.56B,2.09B
Total Current Assets,29.16B,31.44B,33.26B,30.12B,30.19B
"Net Property, Plant & Equipment",6.8B,6.84B,6.97B,6.94B,6.81B
"Property, Plant & Equipment - Gross",10.64B,10.81B,11B,11.11B,10.84B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,3.84B,3.97B,4.03B,4.17B,4.03B
Total Investments and Advances,4.6B,5.6B,2.91B,2.24B,2.03B
Other Long-Term Investments,3.96B,4.98B,2.24B,1.61B,1.46B
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,68.59B,65.45B,63.03B,60.6B,58.14B
Net Goodwill,20.53B,20.52B,20.5B,20.5B,20.45B
Net Other Intangibles,48.07B,44.93B,-,-,-
Other Assets,989M,878M,1.71B,1.71B,1.86B
Total Assets,110.8B,110.89B,109.31B,103.03B,100.36B
Total Assets Growth,-,0.09%,-1.42%,-5.74%,-2.60%
