Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,544M,392.9M,351M,680.7M,416.3M
Cash & Short Term Investments Growth,-,-27.78%,-10.66%,93.93%,-38.84%
Cash Only,450.9M,392.4M,341.9M,659.4M,373.3M
Total Short-Term Investments,118.7M,26.7M,-,-,-
Short-Term Receivables,422M,428.9M,448.9M,475.4M,534.4M
Short Term Receivables Growth,-,1.64%,4.66%,5.90%,12.41%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,66.4M,61.9M,64M,63.4M,61.1M
"Net Property, Plant & Equipments",211.6M,218.8M,217.6M,231.5M,234.6M
Other Assets (Including Intangibles),5.85B,6.48B,5.52B,6.54B,6.02B
Other Assets,1.24B,1.72B,790.7M,1.85B,1.06B
Intangible Assets,4.61B,4.76B,4.73B,4.68B,4.96B
Total Assets,7.1B,7.58B,6.91B,8.2B,7.48B
Total Assets Growth,-,6.85%,-8.90%,18.68%,-8.81%
Return On Average Assets,-,-,-,-,7.81%
