Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,2.26B,2.88B,2.54B,1.79B,1.33B
Cash & Short Term Investments Growth,-,27.44%,-11.69%,-29.42%,-25.77%
Cash Only,2.26B,2.88B,2.54B,1.79B,1.33B
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,5.98B,6.37B,6.84B,6.66B,6.52B
Short Term Receivables Growth,-,6.49%,7.35%,-2.53%,-2.12%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,-,-,-,-,-
"Net Property, Plant & Equipments",1.74B,1.7B,1.86B,1.82B,1.82B
Other Assets (Including Intangibles),7.33B,7.46B,9.15B,9.23B,9.17B
Other Assets,2.09B,2.24B,1.75B,1.92B,2.12B
Intangible Assets,5.24B,5.22B,7.4B,7.32B,7.05B
Total Assets,18.46B,19.73B,22.07B,21.14B,20.44B
Total Assets Growth,-,6.89%,11.88%,-4.21%,-3.33%
Return On Average Assets,-,-,-,-,9.16%
