Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash Only,2B,1.8B,1.81B,1.91B,7.24B
Cash Growth,-,-10.11%,0.84%,5.69%,278.21%
Total Investment Assets,121.37B,122.13B,127.61B,118.25B,114.67B
Investments Growth,-,0.63%,4.48%,-7.33%,-3.02%
Total Fixed Income Securities Investment,-,-,-,-,-
Bonds,-,-,-,-,-
Redeemable Preferred Stock,-,-,-,-,-
Total Equity Securities Investment,-,-,-,-,-
Common Stocks,-,-,-,-,-
Non-Redeemable Preferred Stock,-,-,-,-,-
Real Estate Assets,-,-,-,-,-
"Mortgage, Policy & Other Loans",-,-,-,-,-
Other Investments,-,-,16.21B,-,-
Yield On Investment,-,-,-,-,-
Premium Balance Receivables,11.72B,11.72B,11.32B,11.45B,12.76B
Premium Balance Growth,-,0.03%,-3.42%,1.15%,11.40%
"Net Property, Plant & Equipment",429M,434M,2.45B,437M,433M
Investment in Unconsolidated Subs.,2.98B,3.01B,3.13B,3.16B,3B
Other Assets (Including Intangibles),39.61B,40.02B,33.13B,41.41B,35.64B
Separate & Variable Account Assets,5.13B,5.33B,278M,5.56B,-
Deferred Charges,5.61B,5.53B,5.51B,5.59B,5.6B
Tangible Other Assets,7.67B,8.19B,6.68B,9.62B,9.72B
Intangible Assets,21.2B,20.97B,20.67B,20.64B,20.32B
Total Assets,178.11B,179.11B,181.75B,176.95B,174.31B
Assets - Total - 1 Year Growth,-,0.56%,1.48%,-2.64%,-1.49%
Return On Average Assets,-,-,-,-,4.80%
