Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,520M,537M,461M,477M,441M
Cash & Short Term Investments Growth,-,3.27%,-14.15%,3.47%,-7.55%
Cash Only,520M,537M,461M,477M,441M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,1.86B,2.01B,2.22B,2.29B,2.42B
Short Term Receivables Growth,-,8.07%,10.65%,3.01%,5.81%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,5M,5M,5M,5M,5M
"Net Property, Plant & Equipments",21.8B,21.83B,21.95B,21.97B,21.88B
Other Assets (Including Intangibles),14.79B,14.62B,14.37B,14.31B,14.26B
Other Assets,493M,427M,250M,301M,353M
Intangible Assets,14.3B,14.19B,14.12B,14.01B,13.91B
Total Assets,38.97B,39B,39.04B,39.05B,39.01B
Total Assets Growth,-,0.08%,0.09%,0.03%,-0.10%
Return On Average Assets,-,-,-,-,2.66%
