Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Cash & Short Term Investments,9.41B,7.94B,9.15B,6.94B,7.21B
Cash & Short Term Investments Growth,-,-15.65%,15.27%,-24.15%,3.92%
Cash Only,7.2B,7.29B,8.95B,6.42B,7.06B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,17.08%,14.83%,17.15%,13.02%,13.61%
Total Accounts Receivable,218M,281M,246M,267M,359M
Total Accounts Receivable Growth,-,28.90%,-12.46%,8.54%,34.46%
"Accounts Receivables, Net",218M,281M,246M,267M,359M
"Accounts Receivables, Gross",218M,281M,246M,267M,359M
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,0.23,1.94,5.23,6.08,6.69
Inventories,308M,322M,356M,392M,425M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,264M,371M,384M,461M,561M
Miscellaneous Current Assets,264M,371M,384M,461M,561M
Total Current Assets,10.2B,8.91B,10.13B,8.06B,8.55B
"Net Property, Plant & Equipment",40.91B,40.28B,39.44B,41.46B,40.47B
"Property, Plant & Equipment - Gross",-,-,57.3B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,17.86B,-,-
Total Investments and Advances,14M,41M,30M,30M,30M
Other Long-Term Investments,14M,41M,30M,30M,30M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,2.02B,2B,1.76B,1.76B,1.75B
Net Goodwill,818M,810M,579M,579M,579M
Net Other Intangibles,1.2B,1.19B,-,-,-
Other Assets,1.92B,2.28B,1.98B,1.97B,2.19B
Total Assets,55.06B,53.51B,53.34B,53.28B,52.99B
Total Assets Growth,-,-2.81%,-0.32%,-0.12%,-0.55%
