Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,172.8M,202.65M,257.41M,242.81M,238.93M
Cash & Short Term Investments Growth,-,17.27%,27.02%,-5.67%,-1.60%
Cash Only,172.8M,202.65M,257.41M,242.81M,238.93M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,2.93%,3.07%,3.66%,3.23%,3.20%
Total Accounts Receivable,3.46B,4.14B,4.42B,4.9B,4.82B
Total Accounts Receivable Growth,-,19.63%,6.73%,10.84%,-1.53%
"Accounts Receivables, Net",3.46B,4.14B,4.42B,4.9B,4.82B
"Accounts Receivables, Gross",3.49B,4.18B,4.46B,4.94B,4.86B
Bad Debt/Doubtful Accounts,(35.43M),(37.11M),(41.54M),(42.47M),(37.52M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.60,1.51,1.47,1.39,1.41
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,90.23M,89.47M,129.59M,140.31M,108.26M
Miscellaneous Current Assets,90.23M,89.47M,129.59M,140.31M,108.26M
Total Current Assets,3.72B,4.43B,4.8B,5.28B,5.17B
"Net Property, Plant & Equipment",473.51M,474.67M,432.39M,437.35M,494.05M
"Property, Plant & Equipment - Gross",-,-,734.67M,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,302.28M,-,-
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,1.6B,1.58B,1.64B,1.57B,1.55B
Net Goodwill,1.49B,1.49B,1.48B,1.49B,1.47B
Net Other Intangibles,103.64M,96.03M,-,-,-
Other Assets,87.09M,88.81M,22.2M,102.9M,112.08M
Total Assets,5.91B,6.6B,7.03B,7.52B,7.46B
Total Assets Growth,-,11.78%,6.44%,7.02%,-0.85%
