Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,1.2B,1.57B,2.95B,2.16B,1.98B
Cash & Short Term Investments Growth,-,31.57%,87.66%,-26.89%,-8.37%
Cash Only,1.09B,1.46B,2.84B,2.05B,1.88B
Total Short-Term Investments,110.9M,110.3M,-,-,-
Short-Term Receivables,509.6M,470.4M,434.5M,608.9M,582.3M
Short Term Receivables Growth,-,-7.69%,-7.63%,40.14%,-4.37%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,2.9M,2.8M,500K,500K,400K
"Net Property, Plant & Equipments",898.1M,878M,850.6M,832.7M,811.5M
Other Assets (Including Intangibles),176.09B,183.85B,191.54B,202.32B,173.3B
Other Assets,144.71B,152.55B,160.3B,171.16B,142.26B
Intangible Assets,31.38B,31.3B,31.24B,31.15B,31.04B
Total Assets,178.7B,186.77B,196.96B,205.92B,176.67B
Total Assets Growth,-,4.52%,5.46%,4.55%,-14.20%
Return On Average Assets,-,-,-,-,1.64%
