Item,30-Apr-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,30-Apr-2022
Cash & Short Term Investments,11.13B,12.18B,13.48B,12.3B,11.83B
Cash & Short Term Investments Growth,-,9.43%,10.69%,-8.76%,-3.78%
Cash Only,10.23B,11.26B,12.75B,11.82B,11.19B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,19.43%,20.54%,21.01%,19.49%,18.53%
Total Accounts Receivable,1.6B,1.8B,1.93B,2.23B,1.99B
Total Accounts Receivable Growth,-,13.04%,7.15%,15.53%,-10.80%
"Accounts Receivables, Net",1.6B,1.8B,1.93B,2.23B,1.99B
"Accounts Receivables, Gross",1.6B,1.8B,1.93B,2.23B,1.99B
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,28.39,34.76,26.07,23.25,26.42
Inventories,13.98B,14.22B,16.94B,16.49B,17.62B
Finished Goods,13.98B,14.22B,16.94B,16.49B,17.62B
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.22B,1.31B,1.5B,1.55B,1.56B
Miscellaneous Current Assets,1.22B,1.31B,1.5B,1.55B,1.56B
Total Current Assets,27.92B,29.51B,33.85B,32.57B,33.01B
"Net Property, Plant & Equipment",26.05B,27.38B,26.79B,26.89B,26.87B
"Property, Plant & Equipment - Gross",-,41.55B,-,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,14.17B,-,-,-
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,940M,940M,-,-,-
Net Goodwill,940M,940M,-,-,-
Net Other Intangibles,-,-,-,-,-
Other Assets,2.37B,997M,3.51B,3.62B,3.97B
Total Assets,57.27B,59.27B,64.15B,63.08B,63.85B
Total Assets Growth,-,3.48%,8.24%,-1.67%,1.23%
