Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,688.06M,313.67M,488.66M,344.83M,335.61M
Cash & Short Term Investments Growth,-,-54.41%,55.79%,-29.43%,-2.67%
Cash Only,688.06M,313.67M,488.66M,344.83M,335.61M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,2.73%,1.23%,1.88%,1.19%,1.25%
Total Accounts Receivable,16.64M,127.01M,120.37M,97.39M,33.58M
Total Accounts Receivable Growth,-,663.42%,-5.23%,-19.09%,-65.53%
"Accounts Receivables, Net",-,-,-,-,-
"Accounts Receivables, Gross",-,-,-,-,-
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,504.96,68.11,70.76,88.83,260.64
Inventories,5.1B,5.28B,5.3B,5.61B,6.09B
Finished Goods,5.1B,5.28B,5.3B,5.61B,6.09B
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,237.59M,272.77M,273.94M,247.3M,280.28M
Miscellaneous Current Assets,237.59M,272.77M,273.94M,247.3M,280.28M
Total Current Assets,6.04B,5.99B,6.18B,6.3B,6.74B
"Net Property, Plant & Equipment",13.61B,13.91B,14.16B,14.44B,14.63B
"Property, Plant & Equipment - Gross",-,-,-,18.03B,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,-,3.59B,-
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,5.54B,5.54B,5.54B,5.54B,5.54B
Net Goodwill,4.34B,4.34B,4.34B,4.34B,4.34B
Net Other Intangibles,1.2B,1.2B,-,-,-
Other Assets,42.38M,47.42M,44.56M,46.13M,46.95M
Total Assets,25.24B,25.49B,25.93B,29.06B,26.96B
Total Assets Growth,-,1.00%,1.72%,12.09%,-7.23%
