Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,11.05M,283.29M,69.75M,9.16M,44.2M
Cash & Short Term Investments Growth,-,"2,462.76%",-75.38%,-86.87%,382.48%
Cash Only,11.05M,283.29M,69.75M,9.16M,44.2M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,167.23M,175.24M,185.67M,198.62M,207.68M
Short Term Receivables Growth,-,4.79%,5.95%,6.97%,4.56%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,42.12M,45.08M,33.41M,12.55M,17.7M
"Net Property, Plant & Equipments",37.22M,37.93M,36.8M,36.27M,35.61M
Other Assets (Including Intangibles),1.1B,908.05M,764.33M,621.97M,624.26M
Other Assets,766.06M,579.08M,680.2M,282.41M,282.34M
Intangible Assets,330.08M,328.97M,84.13M,339.56M,341.92M
Total Assets,9.84B,10.05B,10.45B,10.59B,10.96B
Total Assets Growth,-,2.07%,3.95%,1.36%,3.50%
Return On Average Assets,-,-,-,-,8.71%
