Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash Only,5.26B,5.49B,4.88B,6.16B,6.46B
Cash Growth,-,4.41%,-11.11%,26.25%,4.79%
Total Investment Assets,33.09B,34.05B,34.01B,33.84B,33.34B
Investments Growth,-,2.90%,-0.14%,-0.48%,-1.49%
Total Fixed Income Securities Investment,-,-,-,-,-
Bonds,-,-,-,-,-
Redeemable Preferred Stock,-,-,-,-,-
Total Equity Securities Investment,-,-,-,-,-
Common Stocks,-,-,-,-,-
Non-Redeemable Preferred Stock,-,-,-,-,-
Real Estate Assets,-,-,-,-,-
"Mortgage, Policy & Other Loans",-,-,-,-,-
Other Investments,-,-,5.23B,-,-
Yield On Investment,-,-,-,-,-
Premium Balance Receivables,9.44B,9.36B,9.69B,11.33B,10.6B
Premium Balance Growth,-,-0.87%,3.57%,16.89%,-6.42%
"Net Property, Plant & Equipment",4.42B,4.52B,4.55B,4.59B,4.69B
Investment in Unconsolidated Subs.,-,-,-,-,-
Other Assets (Including Intangibles),43.89B,44.64B,44.23B,44.57B,45.79B
Separate & Variable Account Assets,-,-,-,-,-
Deferred Charges,-,-,415M,-,-
Tangible Other Assets,8.95B,9.71B,8.98B,9.73B,10.66B
Intangible Assets,34.94B,34.93B,34.84B,34.84B,35.13B
Total Assets,96.1B,98.06B,97.46B,100.49B,100.88B
Assets - Total - 1 Year Growth,-,2.04%,-0.61%,3.10%,0.39%
Return On Average Assets,-,-,-,-,6.57%
