Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,39.49M,39.71M,123.83M,41.14M,45.01M
Cash & Short Term Investments Growth,-,0.54%,211.86%,-66.78%,9.41%
Cash Only,39.49M,39.71M,123.83M,41.14M,45.01M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,38.58M,30.43M,26.17M,24.6M,22.91M
Short Term Receivables Growth,-,-21.14%,-13.98%,-6.02%,-6.86%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,353.01M,187.04M,236.4M,70.56M,73.64M
"Net Property, Plant & Equipments",-,-,377.14M,-,-
Other Assets (Including Intangibles),258.14M,243.85M,262.05M,213.36M,234.03M
Other Assets,258.14M,243.85M,262.05M,213.36M,234.03M
Intangible Assets,-,-,-,-,-
Total Assets,20.46B,20.66B,21.17B,20.83B,20.57B
Total Assets Growth,-,0.97%,2.45%,-1.60%,-1.23%
Return On Average Assets,-,-,-,-,6.43%
