Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,362M,475M,672M,167M,59M
Cash & Short Term Investments Growth,-,31.22%,41.47%,-75.15%,-64.67%
Cash Only,362M,475M,672M,167M,59M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,1.62%,2.10%,2.93%,0.72%,0.25%
Total Accounts Receivable,690M,811M,671M,1.08B,1.04B
Total Accounts Receivable Growth,-,17.54%,-17.26%,60.80%,-3.89%
"Accounts Receivables, Net",657M,811M,670M,1.08B,1.04B
"Accounts Receivables, Gross",657M,811M,670M,1.08B,1.04B
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,33M,-,-,-,-
Accounts Receivable Turnover,2.44,2.36,3.01,2.23,2.67
Inventories,52M,53M,62M,62M,65M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,38M,125M,41M,39M,40M
Miscellaneous Current Assets,38M,125M,41M,39M,40M
Total Current Assets,1.14B,1.46B,1.45B,1.35B,1.2B
"Net Property, Plant & Equipment",20.42B,20.41B,20.62B,21.11B,21.37B
"Property, Plant & Equipment - Gross",33.33B,33.64B,34.16B,34.95B,35.53B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,12.91B,13.23B,13.55B,13.84B,14.16B
Total Investments and Advances,646M,668M,717M,768M,780M
Other Long-Term Investments,128M,159M,104M,125M,120M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,-,-,-,-,-
Net Goodwill,-,-,-,-,-
Net Other Intangibles,-,-,-,-,-
Other Assets,100M,76M,76M,71M,65M
Total Assets,22.34B,22.64B,22.9B,23.33B,23.45B
Total Assets Growth,-,1.36%,1.14%,1.89%,0.50%
