Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,841M,933M,835M,863M,883M
Cash & Short Term Investments Growth,-,10.94%,-10.50%,3.35%,2.32%
Cash Only,841M,933M,835M,863M,883M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,1.11%,1.23%,1.10%,1.14%,1.14%
Total Accounts Receivable,2.66B,2.79B,2.86B,2.91B,3.19B
Total Accounts Receivable Growth,-,4.88%,2.40%,1.78%,9.72%
"Accounts Receivables, Net",2.66B,2.79B,2.86B,2.91B,3.19B
"Accounts Receivables, Gross",2.72B,2.84B,2.92B,2.96B,3.24B
Bad Debt/Doubtful Accounts,(55M),(50M),(55M),(47M),(47M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.52,1.49,1.49,1.42,1.39
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,14.22B,14.7B,15.18B,14.67B,16.2B
Miscellaneous Current Assets,14.22B,14.7B,15.18B,14.67B,16.2B
Total Current Assets,17.73B,18.43B,18.87B,18.44B,20.28B
"Net Property, Plant & Equipment",1.65B,1.72B,2.32B,1.73B,1.8B
"Property, Plant & Equipment - Gross",-,-,3.81B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,2.3B,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,1.49B,-,-
Total Investments and Advances,2.73B,2.71B,2.68B,2.71B,2.64B
Other Long-Term Investments,136M,104M,122M,126M,124M
Long-Term Note Receivables,-,-,541M,-,543M
Intangible Assets,51.38B,50.57B,50.44B,49.98B,49.85B
Net Goodwill,36.67B,36.3B,36.43B,36.54B,36.83B
Net Other Intangibles,14.71B,14.27B,-,-,-
Other Assets,2.29B,2.35B,1.35B,2.61B,2.1B
Total Assets,75.78B,75.77B,76.25B,75.47B,77.21B
Total Assets Growth,-,-0.01%,0.64%,-1.02%,2.31%
