Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,304.27M,177.59M,162.13M,157.94M,176.56M
Cash & Short Term Investments Growth,-,-41.63%,-8.70%,-2.58%,11.79%
Cash Only,304.27M,177.59M,162.13M,157.94M,176.56M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,162.83M,169.36M,178.55M,193M,196.87M
Short Term Receivables Growth,-,4.01%,5.43%,8.09%,2.01%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,12.67M,10.31M,13.03M,22.15M,21.89M
"Net Property, Plant & Equipments",92.46M,91.84M,90.74M,90.23M,89.61M
Other Assets (Including Intangibles),218.33M,232.01M,224.04M,223.44M,204.71M
Other Assets,218.33M,232.01M,151.53M,223.44M,204.71M
Intangible Assets,-,-,72.5M,-,-
Total Assets,7.68B,7.63B,7.62B,7.67B,7.81B
Total Assets Growth,-,-0.58%,-0.16%,0.60%,1.85%
Return On Average Assets,-,-,-,-,3.42%
