Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,1.94B,2.47B,2.12B,2.18B,2.1B
Cash & Short Term Investments Growth,-,27.27%,-14.00%,2.67%,-3.70%
Cash Only,1.94B,2.47B,2.12B,2.18B,2.1B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,4.30%,5.40%,4.69%,4.80%,4.75%
Total Accounts Receivable,2.43B,2.82B,2.09B,2.42B,2.53B
Total Accounts Receivable Growth,-,16.04%,-25.80%,15.96%,4.54%
"Accounts Receivables, Net",878.43M,904.14M,946.25M,972.96M,989.17M
"Accounts Receivables, Gross",878.43M,904.14M,963.65M,973.98M,990.19M
Bad Debt/Doubtful Accounts,-,-,(17.4M),(1.02M),(1.02M)
Other Receivable,1.55B,1.91B,-,-,-
Accounts Receivable Turnover,0.88,0.78,1.05,0.89,0.90
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,532.98M,507.16M,498.18M,549.31M,584.59M
Miscellaneous Current Assets,532.98M,507.16M,498.18M,549.31M,584.59M
Total Current Assets,4.9B,5.79B,4.71B,5.15B,5.22B
"Net Property, Plant & Equipment",1.64B,1.67B,2.18B,1.72B,1.69B
"Property, Plant & Equipment - Gross",-,-,3.38B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,1.31B,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,1.2B,-,-
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,36.24B,35.87B,36.45B,36.09B,33.77B
Net Goodwill,24.42B,24.34B,24.81B,24.79B,23.5B
Net Other Intangibles,11.82B,11.53B,-,-,-
Other Assets,2.36B,2.41B,1.93B,2.46B,3.47B
Total Assets,45.15B,45.75B,45.28B,45.44B,44.18B
Total Assets Growth,-,1.34%,-1.04%,0.34%,-2.77%
