Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,1.5B,309.74M,634.69M,846.63M,885.2M
Cash & Short Term Investments Growth,-,-79.38%,104.91%,33.39%,4.56%
Cash Only,1.48B,291.36M,613.53M,824.43M,861.72M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,15.19%,2.51%,5.00%,6.60%,6.75%
Total Accounts Receivable,731.45M,912.42M,904.01M,820.41M,803.06M
Total Accounts Receivable Growth,-,24.74%,-0.92%,-9.25%,-2.11%
"Accounts Receivables, Net",722.19M,896.01M,895.72M,812.71M,795.29M
"Accounts Receivables, Gross",722.19M,896.01M,899.75M,816.45M,798.79M
Bad Debt/Doubtful Accounts,-,-,(4.03M),(3.74M),(3.5M)
Other Receivable,9.26M,16.41M,-,-,-
Accounts Receivable Turnover,3.56,3.14,3.82,3.71,3.86
Inventories,1.23B,1.43B,1.37B,1.39B,1.6B
Finished Goods,646.7M,766.82M,725.12M,700.03M,875.67M
Work in Progress,-,-,-,-,-
Raw Materials,582.33M,659.92M,644.08M,685.68M,721.33M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,51.58M,39.78M,39.91M,40.61M,88.3M
Miscellaneous Current Assets,27.71M,13.53M,14.94M,(2K),56.83M
Total Current Assets,3.51B,2.69B,2.95B,3.09B,3.37B
"Net Property, Plant & Equipment",1.9B,2.07B,2.18B,2.1B,2.12B
"Property, Plant & Equipment - Gross",3.84B,4.05B,4.21B,4.17B,4.23B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,1.94B,1.98B,2.03B,2.07B,2.1B
Total Investments and Advances,309.26M,304.42M,299.02M,286.49M,275.85M
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,3.68B,6.77B,6.75B,6.75B,6.75B
Net Goodwill,2.61B,4.91B,4.93B,4.93B,4.94B
Net Other Intangibles,1.07B,1.86B,-,-,-
Other Assets,485.53M,501.16M,516.71M,600.03M,598.93M
Total Assets,9.89B,12.33B,12.7B,12.83B,13.12B
Total Assets Growth,-,24.71%,2.95%,1.03%,2.30%
