Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,2.31B,2.36B,1.64B,2.44B,6.88B
Cash & Short Term Investments Growth,-,2.16%,-30.54%,48.60%,181.76%
Cash Only,1.65B,1.66B,1.64B,1.74B,6.88B
Total Short-Term Investments,666M,701M,-,-,-
Short-Term Receivables,1.3B,1.33B,1.21B,1.7B,1.37B
Short Term Receivables Growth,-,2.08%,-8.97%,40.40%,-19.16%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,398M,398M,1.1B,405M,405M
"Net Property, Plant & Equipments",1.75B,1.72B,1.7B,1.73B,1.7B
Other Assets (Including Intangibles),128.43B,144.85B,187.85B,202.21B,204.85B
Other Assets,93.02B,109.61B,153B,167.5B,170.35B
Intangible Assets,35.41B,35.24B,34.86B,34.72B,34.5B
Total Assets,134.19B,150.66B,193.5B,208.49B,215.21B
Total Assets Growth,-,12.28%,28.43%,7.74%,3.22%
Return On Average Assets,-,-,-,-,2.54%
