Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,4.12B,3.87B,3.25B,1.41B,3.9B
Cash & Short Term Investments Growth,-,-5.98%,-16.02%,-56.49%,176.10%
Cash Only,3.16B,2.56B,2.86B,1.26B,3.53B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,26.12%,24.94%,21.86%,5.38%,13.69%
Total Accounts Receivable,558M,514M,522M,1.13B,744M
Total Accounts Receivable Growth,-,-7.89%,1.56%,116.48%,-34.16%
"Accounts Receivables, Net",554M,391M,411M,889M,738M
"Accounts Receivables, Gross",554M,487M,411M,889M,738M
Bad Debt/Doubtful Accounts,-,(96M),-,-,-
Other Receivable,4M,123M,-,-,-
Accounts Receivable Turnover,7.48,4.98,3.84,2.37,7.57
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,653M,773M,715M,946M,1.21B
Miscellaneous Current Assets,653M,773M,715M,946M,1.21B
Total Current Assets,5.33B,5.16B,4.49B,3.49B,5.86B
"Net Property, Plant & Equipment",1.16B,1.16B,1.19B,1.27B,1.28B
"Property, Plant & Equipment - Gross",-,2.5B,-,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,899M,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,1.34B,-,-,-
Total Investments and Advances,41M,43M,84M,90M,98M
Other Long-Term Investments,41M,43M,84M,90M,98M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,8.94B,8.87B,8.81B,21.12B,20.96B
Net Goodwill,5.61B,5.61B,5.61B,13.73B,13.73B
Net Other Intangibles,3.32B,3.25B,-,-,-
Other Assets,287M,283M,289M,325M,312M
Total Assets,15.76B,15.52B,14.87B,26.3B,28.51B
Total Assets Growth,-,-1.54%,-4.16%,76.89%,8.41%
