Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,315.93M,161.44M,255.83M,195.66M,144.75M
Cash & Short Term Investments Growth,-,-48.90%,58.47%,-23.52%,-26.02%
Cash Only,315.93M,161.44M,255.83M,195.66M,144.75M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,852.45M,884.35M,961.42M,1.06B,1.12B
Short Term Receivables Growth,-,3.74%,8.72%,10.64%,4.95%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,-,1.21M,11.02M,19.44M,53.65M
"Net Property, Plant & Equipments",6.8B,6.9B,6.98B,7.01B,7.13B
Other Assets (Including Intangibles),6.25B,6.19B,6.11B,7.19B,7.04B
Other Assets,482.61M,482.81M,357.13M,585.4M,605.62M
Intangible Assets,5.76B,5.7B,5.76B,6.61B,6.43B
Total Assets,14.31B,14.23B,14.45B,15.63B,15.62B
Total Assets Growth,-,-0.56%,1.51%,8.15%,-0.04%
Return On Average Assets,-,-,-,-,3.15%
