Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,2.06B,1.99B,1.53B,1.3B,879M
Cash & Short Term Investments Growth,-,-3.45%,-23.15%,-15.13%,-32.18%
Cash Only,2.06B,1.99B,1.53B,1.3B,879M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,13.21%,12.81%,9.50%,7.96%,5.61%
Total Accounts Receivable,2.79B,2.73B,2.94B,3.13B,3.11B
Total Accounts Receivable Growth,-,-2.05%,7.81%,6.25%,-0.54%
"Accounts Receivables, Net",2.79B,2.73B,2.84B,3.13B,3.11B
"Accounts Receivables, Gross",2.79B,2.73B,4.55B,3.13B,3.11B
Bad Debt/Doubtful Accounts,-,-,(1.71B),-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.32,1.30,1.25,1.26,1.29
Inventories,1.4B,1.52B,1.77B,1.88B,1.98B
Finished Goods,779M,850M,888M,981M,1.03B
Work in Progress,166M,176M,208M,248M,242M
Raw Materials,546M,614M,716M,775M,835M
Progress Payments & Other,(91M),(116M),(47M),(121M),(130M)
Other Current Assets,265M,337M,140M,377M,408M
Miscellaneous Current Assets,265M,337M,140M,377M,408M
Total Current Assets,6.51B,6.58B,6.37B,6.68B,6.37B
"Net Property, Plant & Equipment",1.77B,1.74B,2.03B,1.8B,1.74B
"Property, Plant & Equipment - Gross",-,-,5.92B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,3.89B,-,-
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,5.37B,5.29B,5.94B,5.88B,5.7B
Net Goodwill,4.66B,4.61B,4.97B,5.01B,4.87B
Net Other Intangibles,716M,683M,-,-,-
Other Assets,1.32B,1.32B,1.18B,1.38B,1.36B
Total Assets,15.58B,15.52B,16.08B,16.29B,15.67B
Total Assets Growth,-,-0.40%,3.61%,1.30%,-3.81%
