Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,796.26M,769.73M,760.6M,460.28M,364.58M
Cash & Short Term Investments Growth,-,-3.33%,-1.19%,-39.48%,-20.79%
Cash Only,796.26M,769.73M,760.6M,460.28M,364.58M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,11.08%,11.00%,10.26%,6.59%,5.53%
Total Accounts Receivable,1.13B,994.28M,1.39B,1.35B,1.2B
Total Accounts Receivable Growth,-,-11.63%,39.32%,-2.67%,-11.09%
"Accounts Receivables, Net",1.13B,994.28M,1.39B,1.35B,1.2B
"Accounts Receivables, Gross",1.13B,1B,1.39B,1.36B,1.21B
Bad Debt/Doubtful Accounts,(8M),(6M),(6.5M),(8M),(9.5M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.04,1.16,0.94,0.94,1.15
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,87.26M,94.43M,93.68M,105.33M,105.99M
Miscellaneous Current Assets,87.26M,94.43M,93.68M,105.33M,105.99M
Total Current Assets,2.01B,1.86B,2.24B,1.91B,1.67B
"Net Property, Plant & Equipment",927.35M,913.34M,821.82M,771.65M,731.87M
"Property, Plant & Equipment - Gross",-,-,1.2B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,304.39M,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,381.33M,-,-
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,3.73B,3.7B,3.67B,3.63B,3.59B
Net Goodwill,2.96B,2.95B,2.95B,2.95B,2.94B
Net Other Intangibles,775.48M,743.95M,-,-,-
Other Assets,521.32M,525.99M,549.25M,666.11M,600.87M
Total Assets,7.19B,6.99B,7.42B,6.99B,6.59B
Total Assets Growth,-,-2.69%,6.03%,-5.81%,-5.65%
