Item,01-Jan-0001,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022
Cash & Short Term Investments,-,50.99M,44.25M,29.12M,39.8M
Cash & Short Term Investments Growth,-,-,-13.22%,-34.19%,36.67%
Cash Only,48.79M,50.99M,44.25M,29.12M,39.8M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,-,2.14%,1.94%,1.28%,1.75%
Total Accounts Receivable,348.07M,359.69M,293.43M,279.35M,247.55M
Total Accounts Receivable Growth,-,3.34%,-18.42%,-4.80%,-11.38%
"Accounts Receivables, Net",-,329.45M,272.59M,256.47M,242.6M
"Accounts Receivables, Gross",-,329.45M,272.59M,256.47M,242.6M
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,30.24M,20.83M,-,-
Accounts Receivable Turnover,1.39,1.25,1.66,1.77,1.93
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,-,86.84M,91.85M,96.4M,126.48M
Miscellaneous Current Assets,-,86.84M,91.85M,96.4M,126.48M
Total Current Assets,-,497.52M,429.53M,404.88M,413.83M
"Net Property, Plant & Equipment",-,308.46M,294.38M,293.3M,264.5M
"Property, Plant & Equipment - Gross",-,743.63M,738.3M,746.74M,710.21M
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,435.17M,443.93M,453.44M,445.71M
Total Investments and Advances,-,13.25M,-,-,-
Other Long-Term Investments,-,13.25M,-,-,-
Long-Term Note Receivables,-,52.92M,53.14M,59.12M,59.6M
Intangible Assets,-,1.16B,1.17B,1.18B,1.19B
Net Goodwill,-,687.46M,687.46M,687.46M,687.46M
Net Other Intangibles,-,476.07M,481.42M,-,-
Other Assets,-,300.48M,334.99M,344.56M,348.66M
Total Assets,2.46B,2.39B,2.28B,2.28B,2.27B
Total Assets Growth,-,-2.75%,-4.48%,0.00%,-0.38%
