Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,15M,20M,39M,67M,19M
Cash & Short Term Investments Growth,-,33.33%,95.00%,71.79%,-71.64%
Cash Only,15M,20M,39M,67M,19M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,0.08%,0.11%,0.20%,0.36%,0.10%
Total Accounts Receivable,377M,392M,440M,481M,490M
Total Accounts Receivable Growth,-,3.98%,12.24%,9.32%,1.87%
"Accounts Receivables, Net",377M,392M,173M,481M,490M
"Accounts Receivables, Gross",391M,406M,184M,491M,500M
Bad Debt/Doubtful Accounts,(14M),(14M),(11M),(10M),(10M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,2.17,2.61,2.11,2.22,1.92
Inventories,208M,218M,246M,185M,240M
Finished Goods,32M,58M,82M,27M,64M
Work in Progress,-,-,-,-,-
Raw Materials,176M,160M,164M,158M,176M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,299M,385M,344M,359M,559M
Miscellaneous Current Assets,299M,385M,344M,359M,559M
Total Current Assets,899M,1.02B,1.07B,1.09B,1.31B
"Net Property, Plant & Equipment",14.54B,14.74B,14.99B,15.19B,15.45B
"Property, Plant & Equipment - Gross",-,-,20.56B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,5.58B,-,-
Total Investments and Advances,531M,592M,580M,643M,688M
Other Long-Term Investments,195M,254M,72M,297M,337M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,-,-,-,-,-
Net Goodwill,-,-,-,-,-
Net Other Intangibles,-,-,-,-,-
Other Assets,1.97B,1.98B,1.92B,1.91B,1.94B
Total Assets,17.94B,18.33B,19.25B,18.84B,19.39B
Total Assets Growth,-,2.17%,5.02%,-2.13%,2.93%
