Item,01-Jan-0001,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,1.93B,6.26B,6.67B,1.4B,3.78B
Cash & Short Term Investments Growth,-,223.76%,6.68%,-78.96%,169.37%
Cash Only,1.48B,4.84B,6.12B,1.13B,3.41B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,4.13%,12.66%,13.51%,3.03%,7.61%
Total Accounts Receivable,-,-,-,-,-
Total Accounts Receivable Growth,-,-,-,-,-
"Accounts Receivables, Net",-,-,-,-,-
"Accounts Receivables, Gross",-,-,-,-,-
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,-,-,-,-,-
Inventories,19.33B,17.32B,16.69B,17.61B,20.24B
Finished Goods,-,17.32B,16.69B,17.61B,20.24B
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,-,1.51B,1.49B,1.05B,1.59B
Miscellaneous Current Assets,-,1.51B,1.49B,1.05B,1.59B
Total Current Assets,22.67B,25.08B,24.85B,20.06B,25.61B
"Net Property, Plant & Equipment",22.87B,22.85B,23.09B,23.18B,23.02B
"Property, Plant & Equipment - Gross",-,-,-,41.07B,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,-,17.89B,-
Total Investments and Advances,-,225M,213M,247M,76M
Other Long-Term Investments,-,225M,213M,247M,76M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,-,-,-,833M,-
Net Goodwill,-,-,-,311M,-
Net Other Intangibles,-,-,-,-,-
Other Assets,-,1.02B,1.03B,157M,984M
Total Assets,46.73B,49.4B,49.4B,46.33B,49.73B
Total Assets Growth,-,5.73%,-0.01%,-6.21%,7.33%
