Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,43M,41.52M,130.6M,72.62M,221.7M
Cash & Short Term Investments Growth,-,-3.45%,214.53%,-44.39%,205.27%
Cash Only,43M,41.52M,130.6M,72.62M,221.7M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,-,-,-,-,-
Short Term Receivables Growth,-,-,-,-,-
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,37.1M,50.5M,34.5M,46.4M,24.5M
"Net Property, Plant & Equipments",48.3M,47.7M,47M,46.5M,45.9M
Other Assets (Including Intangibles),131.32M,181.49M,94.78M,91.57M,96.89M
Other Assets,131.32M,181.49M,93.88M,91.57M,96.89M
Intangible Assets,-,-,900K,-,-
Total Assets,11.24B,11.25B,11.29B,11.2B,11.28B
Total Assets Growth,-,0.11%,0.28%,-0.76%,0.73%
Return On Average Assets,-,-,-,-,4.74%
