Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,463.72M,482.85M,556.89M,414.75M,340.82M
Cash & Short Term Investments Growth,-,4.13%,15.34%,-25.52%,-17.83%
Cash Only,463.72M,482.85M,556.89M,414.75M,340.82M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,562.86M,619.61M,472.23M,796.65M,705.29M
Short Term Receivables Growth,-,10.08%,-23.79%,68.70%,-11.47%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,35.84M,35.77M,36.08M,35.88M,34.3M
"Net Property, Plant & Equipments",167.01M,168.16M,167.02M,164.49M,161.86M
Other Assets (Including Intangibles),308.49M,305.53M,298.23M,295.72M,325.44M
Other Assets,33.71M,30.95M,27.07M,29.31M,65.05M
Intangible Assets,274.78M,274.59M,271.17M,266.41M,260.4M
Total Assets,1.54B,1.61B,1.53B,1.71B,1.57B
Total Assets Growth,-,4.81%,-5.05%,11.57%,-8.19%
Return On Average Assets,-,-,-,-,18.02%
