Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,7.78B,7.53B,6.03B,6.01B,5.82B
Cash & Short Term Investments Growth,-,-3.23%,-19.91%,-0.31%,-3.15%
Cash Only,7.78B,7.53B,6.03B,6.01B,5.82B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,18.98%,17.61%,13.52%,13.26%,12.56%
Total Accounts Receivable,1.53B,1.58B,1.72B,1.67B,1.65B
Total Accounts Receivable Growth,-,3.40%,8.47%,-2.81%,-1.01%
"Accounts Receivables, Net",775.22M,782.35M,804.32M,824.65M,765.39M
"Accounts Receivables, Gross",775.22M,782.35M,804.32M,824.65M,765.39M
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,756.69M,801.67M,-,-,-
Accounts Receivable Turnover,4.79,4.72,4.49,4.71,4.82
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,294.84M,305.09M,323.82M,419.13M,368.3M
Miscellaneous Current Assets,-,-,-,-,-
Total Current Assets,9.6B,9.42B,8.07B,8.1B,7.84B
"Net Property, Plant & Equipment",3.21B,3.47B,3.77B,3.87B,3.7B
"Property, Plant & Equipment - Gross",3.76B,4.06B,4.39B,4.56B,4.37B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,323.77M,356.95M,380.45M,448.61M,422.04M
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,552.97M,593.37M,616.31M,690.13M,664.9M
Total Investments and Advances,24.4M,24.31M,24.12M,24.6M,24.06M
Other Long-Term Investments,24.4M,24.31M,24.12M,24.6M,24.06M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,-,-,-,-,-
Net Goodwill,-,-,-,-,-
Net Other Intangibles,-,-,-,-,-
Other Assets,27.75B,29.51B,32.57B,33.34B,34.78B
Total Assets,40.97B,42.74B,44.58B,45.33B,46.35B
Total Assets Growth,-,4.32%,4.32%,1.67%,2.25%
