Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,1.67B,1.47B,839M,1.57B,1.26B
Cash & Short Term Investments Growth,-,-12.28%,-42.73%,87.25%,-19.86%
Cash Only,1.67B,1.47B,839M,1.57B,1.26B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,4.31%,3.79%,2.16%,3.99%,3.20%
Total Accounts Receivable,941M,945M,976M,1.07B,1.21B
Total Accounts Receivable Growth,-,0.43%,3.28%,9.63%,12.90%
"Accounts Receivables, Net",736M,740M,741M,830M,924M
"Accounts Receivables, Gross",736M,740M,741M,830M,924M
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,205M,205M,-,-,-
Accounts Receivable Turnover,2.97,3.02,2.92,2.72,2.69
Inventories,246M,235M,218M,264M,289M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,246M,235M,218M,264M,289M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,155M,77M,134M,110M,101M
Miscellaneous Current Assets,155M,77M,134M,110M,101M
Total Current Assets,3.01B,2.72B,2.17B,3.02B,2.86B
"Net Property, Plant & Equipment",31.36B,31.43B,32.06B,31.66B,31.79B
"Property, Plant & Equipment - Gross",43.13B,43.3B,44.1B,43.78B,44.05B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,893M,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,11.78B,11.87B,12.03B,12.12B,12.27B
Total Investments and Advances,3.66B,3.68B,2.82B,3.7B,3.67B
Other Long-Term Investments,2.16B,2.18B,25M,2.2B,2.07B
Long-Term Note Receivables,23M,23M,23M,-,-
Intangible Assets,-,-,-,-,-
Net Goodwill,-,-,-,-,-
Net Other Intangibles,-,-,-,-,-
Other Assets,706M,746M,1.42B,992M,1.02B
Total Assets,38.75B,38.6B,38.89B,39.36B,39.34B
Total Assets Growth,-,-0.39%,0.75%,1.20%,-0.06%
