Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Cash & Short Term Investments,4.6B,4.55B,4.55B,4.2B,4.14B
Cash & Short Term Investments Growth,-,-1.24%,0.02%,-7.63%,-1.45%
Cash Only,4.53B,4.49B,4.51B,4.17B,4.11B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,49.19%,49.66%,49.32%,44.22%,41.29%
Total Accounts Receivable,945M,655M,647M,799M,1.23B
Total Accounts Receivable Growth,-,-30.69%,-1.22%,23.49%,53.94%
"Accounts Receivables, Net",945M,655M,647M,799M,1.23B
"Accounts Receivables, Gross",945M,655M,647M,799M,1.23B
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.65,2.23,2.42,2.02,1.37
Inventories,114M,108M,155M,167M,204M
Finished Goods,92M,72M,107M,70M,73M
Work in Progress,-,-,-,-,-
Raw Materials,22M,36M,48M,97M,131M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,252M,241M,233M,261M,291M
Miscellaneous Current Assets,252M,241M,233M,261M,291M
Total Current Assets,5.92B,5.55B,5.58B,5.43B,5.87B
"Net Property, Plant & Equipment",639M,792M,812M,883M,896M
"Property, Plant & Equipment - Gross",1.91B,2.03B,2.09B,2.16B,2.15B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,305M,290M,305M,310M,316M
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,1.27B,1.24B,1.27B,1.28B,1.25B
Total Investments and Advances,103M,107M,110M,107M,103M
Other Long-Term Investments,32M,35M,35M,32M,30M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,2.14B,2.15B,2.14B,2.48B,2.49B
Net Goodwill,2.04B,2.05B,2.05B,2.33B,2.35B
Net Other Intangibles,101M,97M,-,-,-
Other Assets,344M,326M,331M,330M,312M
Total Assets,9.36B,9.16B,9.22B,9.5B,10.03B
Total Assets Growth,-,-2.18%,0.72%,3.01%,5.54%
