Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,2.66B,2.75B,2.64B,2.23B,1.56B
Cash & Short Term Investments Growth,-,3.12%,-4.04%,-15.55%,-29.78%
Cash Only,2.66B,2.75B,2.64B,2.23B,1.56B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,45.51%,47.47%,45.19%,38.89%,29.57%
Total Accounts Receivable,24.48M,22.53M,18.55M,23.47M,29.01M
Total Accounts Receivable Growth,-,-8.00%,-17.64%,26.51%,23.59%
"Accounts Receivables, Net",24.48M,22.53M,18.55M,23.47M,29.01M
"Accounts Receivables, Gross",24.48M,22.53M,18.55M,23.47M,29.01M
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,91.26,104.41,117.69,98.43,91.35
Inventories,1.97B,1.86B,1.95B,2.19B,2.38B
Finished Goods,1.92B,1.83B,1.91B,2.14B,2.32B
Work in Progress,7.79M,8.15M,12.15M,14.67M,16.27M
Raw Materials,41.62M,26.99M,29.92M,39.84M,46.64M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,-,-,-,-,-
Miscellaneous Current Assets,-,-,-,-,-
Total Current Assets,4.66B,4.63B,4.6B,4.44B,3.97B
"Net Property, Plant & Equipment",131.98M,130.55M,129.41M,128.53M,142.42M
"Property, Plant & Equipment - Gross",-,-,258.03M,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,128.62M,-,-
Total Investments and Advances,381.11M,316.29M,336.65M,326.84M,376.05M
Other Long-Term Investments,359.41M,295.49M,316.35M,308.04M,346.05M
Long-Term Note Receivables,25.4M,24.3M,25.2M,26.3M,24.4M
Intangible Assets,48.93M,48.93M,48.93M,48.93M,48.93M
Net Goodwill,-,-,7.35M,7.35M,7.35M
Net Other Intangibles,48.93M,48.93M,-,-,-
Other Assets,604.61M,634.99M,558.76M,751.69M,724.45M
Total Assets,5.85B,5.79B,5.83B,5.73B,5.29B
Total Assets Growth,-,-1.12%,0.79%,-1.86%,-7.66%
