Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,4.75B,2.28B,2.79B,1.93B,1.39B
Cash & Short Term Investments Growth,-,-52.01%,22.33%,-30.63%,-28.39%
Cash Only,4.75B,2.28B,2.79B,1.93B,1.39B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,5.94%,3.01%,3.55%,2.61%,1.87%
Total Accounts Receivable,3.29B,3.48B,4.31B,5.43B,6.35B
Total Accounts Receivable Growth,-,5.75%,24.04%,25.99%,16.86%
"Accounts Receivables, Net",3.29B,3.48B,4.21B,5.43B,6.35B
"Accounts Receivables, Gross",3.29B,3.48B,4.24B,5.43B,6.35B
Bad Debt/Doubtful Accounts,-,-,(35M),-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,1.86,1.98,1.81,1.51,1.63
Inventories,1.84B,1.77B,1.85B,1.41B,1.56B
Finished Goods,917M,884M,1.07B,599M,715M
Work in Progress,-,-,-,-,-
Raw Materials,949M,918M,879M,906M,948M
Progress Payments & Other,(29M),(29M),(99M),(99M),(99M)
Other Current Assets,2.97B,2.37B,1.26B,1.28B,1.11B
Miscellaneous Current Assets,2.97B,2.37B,1.26B,1.28B,1.11B
Total Current Assets,12.84B,9.9B,10.21B,10.06B,10.41B
"Net Property, Plant & Equipment",62.71B,61.45B,60.66B,59.92B,59.29B
"Property, Plant & Equipment - Gross",117.43B,118B,118.88B,118.23B,119.02B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,54.72B,56.55B,58.23B,58.31B,59.73B
Total Investments and Advances,3.27B,3.28B,2.95B,3.03B,3.35B
Other Long-Term Investments,19M,16M,16M,18M,17M
Long-Term Note Receivables,-,-,33M,-,-
Intangible Assets,-,-,-,-,-
Net Goodwill,-,-,-,-,-
Net Other Intangibles,-,-,-,-,-
Other Assets,1.12B,1.13B,1.15B,1.21B,1.17B
Total Assets,79.94B,75.76B,78.47B,74.22B,74.22B
Total Assets Growth,-,-5.23%,3.58%,-5.42%,0.00%
