Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Cash & Short Term Investments,2.29B,2.75B,1.88B,1.82B,1.72B
Cash & Short Term Investments Growth,-,20.07%,-31.77%,-2.92%,-5.50%
Cash Only,2.29B,2.75B,1.88B,1.82B,1.72B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,15.21%,17.49%,9.72%,10.09%,9.64%
Total Accounts Receivable,138.5M,154.1M,195M,122.9M,169.4M
Total Accounts Receivable Growth,-,11.26%,26.54%,-36.97%,37.84%
"Accounts Receivables, Net",138.5M,154.1M,195M,122.9M,169.4M
"Accounts Receivables, Gross",138.5M,154.1M,195M,122.9M,169.4M
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,11.16,9.81,8.06,12.73,9.60
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,120.4M,131.1M,149.7M,166M,165.8M
Miscellaneous Current Assets,16M,19.1M,17.4M,31.7M,33M
Total Current Assets,2.55B,3.04B,2.22B,2.11B,2.06B
"Net Property, Plant & Equipment",9.22B,9.4B,9.44B,10.77B,10.72B
"Property, Plant & Equipment - Gross",-,-,12.57B,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,3.13B,-,-
Total Investments and Advances,278.5M,253.2M,256.3M,257.4M,251.5M
Other Long-Term Investments,1.2M,1.2M,1.2M,1.2M,1.2M
Long-Term Note Receivables,15.1M,15.1M,15.1M,7.9M,7.9M
Intangible Assets,2.7B,2.73B,4.7B,4.71B,4.64B
Net Goodwill,1.17B,1.18B,2.82B,2.85B,2.8B
Net Other Intangibles,1.53B,1.55B,-,-,-
Other Assets,311.4M,317.8M,246.8M,210.1M,199.8M
Total Assets,15.08B,15.75B,19.32B,18.07B,17.88B
Total Assets Growth,-,4.45%,22.68%,-6.47%,-1.05%
